Geneid	B03-6	B03-12	B03-16	A05-6	A05-12	A05-16	A07-6	A07-12	A07-16	B09-6	B09-12	B09-16
Glyma.01G132800	3.383	1.18	3.442	4.192	3.472	6.458	4.595	3.981	7.306	5.816	3.295	6.028
Glyma.01G132932	0.303	0.165	1.631	1.565	0.601	0.922	1.166	1.035	4.199	2.581	1.084	1.187
Glyma.01G133000	1.555	1.373	5.573	4.246	4.325	15.874	7.599	6.488	11.311	7.723	8.66	9.589
Glyma.01G133501	12.675	5.228	5.076	12.918	3.776	16.025	9.199	4.14	10.12	12.152	5.378	13.392
Glyma.01G134600	2.264	0.486	0.133	0.574	0.746	7.041	0.954	0.937	0.184	0.317	0.543	4.19
Glyma.01G134700	18.045	8.066	1.934	9.046	2.637	25.544	2.11	0.949	0.145	0.834	0.8	18.345
Glyma.01G135200	3.557	0.803	0.05	0.966	0.511	2.602	3.114	0.595	0.021	0.798	0.185	0.425
Glyma.01G139500	2.51	3.513	11.047	8.755	10.387	4.576	11.923	12.895	14.083	12.687	11.847	7.37
Glyma.01G140850	0.472	0.773	2.327	0.567	0.449	4.303	0.459	0.582	1.046	0.375	1.438	5.399
Glyma.01G142851	0.696	1.553	4.271	1.308	3.04	5.867	2.684	2.662	4.286	1.16	1.618	4.055
Glyma.01G143100	4.875	6.743	13.989	6.29	6.786	17.355	7.646	9.153	13.284	4.155	7.581	21.278
Glyma.01G144500	0.092	0.112	2.506	6.192	1.095	0.417	4.546	2.514	2.43	4.709	1.768	0.648
Glyma.01G145300	7.73	12.383	15.94	8.257	9.644	17.178	6.507	6.605	9.49	8.001	17.745	25.397
Glyma.01G145400	139.895	171.891	140.382	148.81	92.687	67.92	95.379	64.004	92.136	151.898	238.361	150.635
Glyma.01G147400	0.586	6.261	11.382	1.533	4.548	9.465	0.782	2.071	1.777	0.835	22.558	25.75
Glyma.01G147600	0.288	0.46	2.234	1.49	8.5	0.085	2.299	6.143	1.863	2.094	4.074	0.934
Glyma.01G148600	1.805	4.538	3.537	2.372	3.337	8.836	2.343	3.16	5.034	2.579	3.602	6.893
Glyma.01G148700	1.649	1.627	22.807	6.311	5.675	2.834	16.09	8.942	2.55	5.327	12.274	4.258
Glyma.01G148800	9.801	7.819	60.584	24.892	18.287	46.508	26.911	18.439	57.864	31.946	46.693	88.616
Glyma.01G149300	22.142	23.817	58.221	70.269	102.546	28.836	88.892	106.933	87.819	85.159	71.869	40.002
Glyma.01G150500	2.752	6.244	8.722	3.509	8.256	15.037	5.227	9.266	8.065	3.332	8.483	13.285
Glyma.01G151200	4.037	2.234	0.341	1.392	0.301	1.319	0.63	0.317	0.41	1.404	0.462	1.757
Glyma.01G151300	42.491	22.969	1.977	15.254	3.164	5.624	6.116	4.128	3.604	13.169	4.308	11.033
Glyma.01G151600	5.778	12.436	13.156	7.95	27.682	7.146	13.66	23.286	7.516	10.361	13.788	8.008
Glyma.01G151700	5.599	5.325	8.279	9.416	8.875	3.62	9.627	11.984	12.948	12.464	7.569	5.076
Glyma.01G152100	1.089	1.426	10.876	5.314	5.516	4.35	10.767	15.628	26.803	8.516	11.03	6.341
Glyma.01G152700	11.51	5.314	4.495	15.453	13.252	14.696	16.433	22.299	10.394	20.449	8.098	6.257
Glyma.01G152900	9.031	3.374	10.678	95.602	63.736	2.814	219.568	131.648	111.06	190.471	116.835	24.353
Glyma.01G153200	10.393	14.663	37.737	8.402	23.322	11.208	14.796	18.985	5.022	4.512	10.423	8.604
Glyma.01G153500	33.788	38.395	25.761	14.954	12.408	19.659	9.535	10.357	16.423	10.66	10.692	17.769
Glyma.01G153600	0.494	1.252	9.178	1.993	3.177	4.768	2.726	4.595	10.312	3.407	4.208	5.951
Glyma.01G154900	228.06	416.955	391.047	60.556	115.06	764.727	47.301	135.44	234.375	27.601	46.095	414.819
Glyma.01G155000	1.71	3.077	8.224	1.542	1.602	9.877	1.125	1.014	3.041	1.221	3.576	14.34
Glyma.01G155200	1.854	4.478	8.859	3.603	5.497	10.214	5.806	5.639	8.769	3.635	4.029	11.458
Glyma.01G155300	2.676	5.06	14.814	9.084	12.415	5.4	16.163	14.844	16.802	14.02	15.379	8.645
Glyma.01G155900	3.155	3.165	2.894	6.935	6.028	2.155	8.474	11.462	12.437	9.817	8.099	3.488
Glyma.01G156200	33.041	32.908	9.481	32.308	25.567	47.538	14.685	12.078	2.869	11.37	6.227	17.932
Glyma.01G156700	7.51	2.545	9.993	13.283	10.89	3.712	24.223	17.295	2.307	7.952	5.341	3.649
Glyma.01G157000	6.577	8.274	15.327	50.266	20.241	11.086	29.894	26.361	18.238	42.296	17.289	12.562
Glyma.01G157100	3.107	11.032	3.847	6.253	6.97	5.146	4.37	6.897	2.316	4.943	10.983	6.874
Glyma.01G157300	0.819	2.946	15.137	7.881	12.557	13.788	5.883	11.116	8.684	5.902	6.408	7.332
Glyma.01G157400	20.323	23.305	21.022	14.163	13.439	54.197	20.638	17.113	33.856	26.043	14.046	52.242
Glyma.01G157800	15.082	9.592	7.224	12.311	7.276	11.943	11.701	9.374	14.312	14.706	6.206	11.622
Glyma.01G157900	76.415	59.87	23.164	59.438	38.338	70.285	51.375	45.946	38.548	69.504	28.197	47.03
Glyma.01G158400	0.923	2.638	2.788	1.485	2.303	5.351	1.504	2.212	2.899	1.487	2.581	3.75
Glyma.01G159000	5.601	8.381	11.737	5.824	10.676	21.363	6.379	9.089	11.578	6.62	7.576	15.494
Glyma.01G159100	0.596	0.889	3.354	1.203	0.846	3.613	1.188	0.832	1.436	1.076	1.794	4.433
Glyma.01G159600	0.926	1.087	5.437	2.004	0.971	4.17	1.912	0.997	1.784	1.936	4.619	8.613
Glyma.01G159700	1.251	0.217	7.064	5.72	0.995	0.453	5.328	1.444	1.511	3.43	0.544	0.399
Glyma.01G159800	5.873	16.485	30.553	13.035	37.593	33.089	16.128	28.999	21.21	11.955	18.882	25.905
Glyma.01G160100	6.405	23.362	9.758	7.229	45.138	36.624	6.982	17.828	5.714	9.339	17.315	13.252
Glyma.01G160300	0.801	0.172	8.471	2.51	0.594	0.207	2.196	0.719	0.436	1.224	0.539	0.358
Glyma.01G161100	1.974	1.108	0.491	1.384	0.385	7.275	0.496	0.672	0.085	0.188	0.14	12.263
Glyma.01G161200	6.611	3.365	11.832	15.851	13.454	27.834	15.849	22.175	27.837	16.229	8.281	18.993
Glyma.01G161500	293.66	170.342	71.727	117.294	81.101	313.261	42.588	103.47	166.801	83.429	18.262	83.333
Glyma.01G161600	5.428	3.35	8.641	5.053	7.635	12.67	5.829	5.705	7.083	4.873	2.175	9.159
Glyma.01G161700	5.47	7.671	28.627	9.579	16.686	53.008	11.579	15.52	37.916	8.762	9.342	21.061
Glyma.01G162800	9.944	21.184	67.297	17.205	52.448	55.895	29.405	45.082	74.985	14.988	34.021	52.838
Glyma.01G163000	14.946	11.388	7.42	11.935	12.444	15.12	16.166	14.511	7.629	7.89	5.34	9.473
Glyma.01G163100	16.894	5.963	9.099	30.117	16.65	5.632	18.571	18.142	10.434	16.429	9.251	6.982
Glyma.01G163200	2.428	7.244	7.166	2.505	5.382	12.449	2.793	4.992	7.305	3.846	8.12	13.629
Glyma.01G163800	2.044	3.426	15.388	2.983	3.395	10.34	2.717	2.647	6.061	2.111	7.419	19.565
Glyma.01G164000	4.618	2.35	23.497	34.458	20.453	5.31	45.913	27.901	50.301	51.076	21.535	13.589
Glyma.01G164700	0.564	0	1.718	3.393	4.346	0.049	5.865	5.323	4.602	6.721	5.524	1.509
Glyma.01G165300	10.047	9.469	8.381	5.511	6.24	3.324	4.444	3.701	4.253	4.616	4.622	5.188
Glyma.01G165900	13.142	3.793	1.987	3.271	1.723	3.352	2.425	2.327	1.115	2.962	1.491	2.278
Glyma.01G166000	192.708	52.904	20.162	27.23	15.639	62.677	6.969	7.905	6.061	18.28	3.507	74.874
Glyma.01G166100	4.826	3.842	4.134	4.511	3.128	18.844	4.766	4.135	5.5	4.355	2.95	9.323
Glyma.01G167300	13.926	43.655	83.597	20.352	36.365	24.046	16.84	17.322	14.591	17.568	95.142	81.238
Glyma.01G167500	16.45	37.652	143.362	51.011	235.646	16.976	141.2	176.433	49.308	67.478	128.018	53.834
Glyma.01G168000	24.848	24.918	32.938	52.782	60.62	28.759	64.879	67.956	31.665	54.844	35.916	21.53
Glyma.01G168200	8.124	4.21	10.83	34.681	25.854	4.307	69.372	56.762	32.072	50.113	23.773	7.444
Glyma.01G168400	8.011	18.582	79.753	78.09	85.905	14.769	105.299	117.504	116.771	154.212	101.813	46.905
Glyma.01G168500	212.293	100.476	4.623	191.229	64.131	7.639	173.934	54.8	5.414	219.219	67.251	9.159
Glyma.01G169400	1.512	3.195	7.886	6.875	6.687	5.9	7.774	8.445	8.889	7.666	14.741	13.776
Glyma.01G169500	0.841	6.685	7.905	1.715	2.214	3.035	1.335	3.023	7.58	1.695	5.357	3.233
Glyma.01G170200	2.996	6.066	52.131	58.954	72.075	12.322	97.631	121.761	108.276	102.498	173.456	40.199
Glyma.01G170300	221.525	251.494	154.328	105.419	102.769	211.654	68.292	127.516	36.031	35.826	45.566	220.391
Glyma.01G171000	5.193	3.079	5.749	5.72	4.028	3.871	6.342	5.656	9.969	8.457	3.859	3.367
Glyma.01G171400	7.436	3.211	8.418	14.319	8.612	6.386	16.261	12.846	8.081	9.624	6.469	6.873
Glyma.01G171800	9.171	25.03	12.731	5.059	22.391	13.141	4.735	13.367	8.35	3.02	9.152	7.7
Glyma.01G171900	6.411	4.607	24.837	43.91	43.557	13.534	67.042	57.11	57.207	32.489	32.07	18.298
Glyma.01G172200	1.449	1.55	7.726	3.568	8.308	7.767	5.393	6.879	6.097	2.221	4.441	5.645
Glyma.01G172400	23.464	12.936	21.974	24.042	17.532	43.983	28.209	16.834	20.604	20.526	10.783	37.736
Glyma.01G172600	6.976	4.252	29.533	6.001	42.536	30.222	35.994	43.04	4.238	3.045	8.661	11.629
Glyma.01G173050	133.451	69.997	20.108	49.218	25.702	32.112	34.605	33.629	26.891	45.227	34.058	38.342
Glyma.01G173200	34.684	19.753	32.181	20.851	15.439	20.804	16.623	9.751	18.692	24.984	15.459	30.938
Glyma.01G173300	135.031	85.874	108.254	84.155	82.02	40.935	65.151	40.302	52.371	79.697	77.867	78.235
Glyma.01G173600	2.683	0.157	2.419	7.946	9.724	0	12.385	14.076	6.934	5.52	9.998	1.067
Glyma.01G173800	9.83	17.879	7.443	3.643	0.812	19.807	0.442	0.463	0.305	0.262	0.138	12.949
Glyma.01G174000	1.267	3.764	7.744	2.698	2.932	5.029	1.687	1.743	1.482	1.775	15.121	14.15
Glyma.01G175200	3.226	8.836	45.619	38.124	42.444	6.654	56.008	60.631	76.251	78.664	59.475	23.109
Glyma.01G176400	0.881	3.346	6.988	1.452	2.676	4.557	1.167	1.335	0.949	1.255	13.395	11.315
Glyma.01G177400	2.256	2.341	3.128	2.63	0.942	11.225	2.493	1.473	4.625	2.326	1.199	10.849
Glyma.01G177500	0.188	0.023	0.34	5.998	0.674	0.19	18.662	4.008	29.451	10.564	1.189	0.198
Glyma.01G177700	39.089	29.607	18.477	26.043	22.74	38.267	23.679	21.988	15.682	20.983	17.694	23.659
Glyma.01G178500	0.702	0.94	0.663	1.936	3.653	0.211	0.316	0.693	0.049	0.465	0.612	0.283
Glyma.01G179100	1.703	1.374	2.827	2.131	1.311	5.464	1.804	1.265	5.003	2.058	1.885	5.728
Glyma.01G179251	0.408	0.418	2.471	0.419	0.123	1.803	0.279	0.165	0.854	0.696	1.103	3.711
Glyma.01G179300	1.059	0.976	8.796	3.475	3.655	3.598	5.016	3.518	9.17	4.908	5.807	5.398
Glyma.01G179400	69.719	41.651	7.722	32.587	13.516	4.373	11.045	7.159	1.055	15.696	10.603	6.26
Glyma.01G179900	112.149	53.102	43.808	54.47	31.345	52.79	45.215	45.264	77.217	52.862	36.283	59.676
Glyma.01G180366	0.329	0.088	52.118	46.201	7.918	0.099	67.315	14.94	139.195	71.61	10.024	15.276
Glyma.01G180700	2.151	1.476	3.762	2.827	3.266	10.383	2.11	2.434	2.812	1.933	1.476	6.897
Glyma.01G180800	841.526	509.383	477.546	627.558	569.146	264.591	578.376	573.24	779.097	711.162	520.912	314.932
Glyma.01G181102	5.261	1.394	0.499	0.532	0.167	0	0.149	0.342	0.221	0.401	0.287	0
Glyma.01G181800	4.269	1.513	0.287	0.703	0	1.079	0.599	1.18	0	0	0.043	0.409
Glyma.01G181900	12.241	4.665	1.172	1.248	0.2	0.658	0.405	0.196	4.231	1.234	0.619	1.073
Glyma.01G182400	2.454	1.128	2.358	3.249	1.991	2.253	4.703	3.103	3.366	4.862	1.319	3.347
Glyma.01G182500	30.239	79.093	94.147	36.028	80.683	133.534	33.513	66.001	108.94	42.818	62.645	103.013
Glyma.01G183000	1.942	1.43	1.736	3.8	2.878	0.882	3.237	3.014	2.027	2.338	1.969	1.215
Glyma.01G183100	1.203	2.221	39.412	25.875	53.464	2.835	29.436	39.657	18.631	29.3	30.979	21.972
Glyma.01G184300	4.321	3.091	5.466	3.93	4.362	4.262	5.24	6.684	6.584	4.093	5.002	2.512
Glyma.01G184400	4.982	6.108	7.599	4.881	5.488	18.957	4.834	4.141	6.09	4.901	3.968	11.479
Glyma.01G185300	125.257	67.93	56.245	98.841	57.231	57.791	93.008	47.652	55.909	110.086	74.661	60.877
Glyma.01G185400	9.851	16.66	19.076	26.322	18.522	32.149	21.933	20.725	64.996	30.094	13.027	17.316
Glyma.01G185600	11.254	7.168	3.992	7.509	4.271	9.818	3.701	4.255	5.307	6.452	4.27	13.288
Glyma.01G185800	1.549	1.795	1.287	1.32	3.382	4.906	1.254	2.346	0.306	0.467	0.623	1.961
Glyma.01G186600	81.828	275.597	227.249	112.639	396.335	241.367	202.855	365.196	106.441	63.885	144.315	122.679
Glyma.01G186800	0.731	0.67	65.24	49.045	34.453	1.641	61.619	56.458	75.434	66.804	56.597	21.598
Glyma.01G187200	4.021	3.786	20.681	16.492	13.103	5.945	16.29	11.366	17.305	24.69	20.12	16.43
Glyma.01G187300	6.661	5.624	16.014	23.335	15.088	12.356	30.365	16.233	13.318	36.176	18.98	15.841
Glyma.01G187400	7.466	2.271	14.133	5.579	2.414	1.618	4.391	2.481	1.305	2.889	5.02	2.541
Glyma.01G187600	0.02	0.278	3.116	1.007	1.411	2.52	1.041	1.469	7.658	1.15	2.331	3.74
Glyma.01G187800	7.349	3.462	5.574	4.437	2.342	11.121	4.59	3.355	6.902	4.602	1.934	8.163
Glyma.01G188000	2.683	2.444	13.138	6.331	3.423	6.208	6.747	3.901	8.468	7.35	6.442	9.164
Glyma.01G188200	1.781	1.474	5.728	4.975	6.463	3.169	9.136	9.493	8.311	6.336	5.104	3.253
Glyma.01G188500	13.772	162.629	212.822	24.224	99.251	300.563	31.22	92.753	166.366	30.372	110.265	244.076
Glyma.01G188600	29.234	47.906	17.822	16.584	22.786	41.595	13.613	29.925	19.425	16.591	22.341	33.557
Glyma.01G189000	7.919	3.551	3.054	2.948	2.432	2.575	1.494	2.6	2.428	1.963	1.612	0.708
Glyma.01G189100	15.451	8.426	3.698	10.201	5.784	13.773	15.723	7.839	7.414	10.456	3.095	5.514
Glyma.01G189500	5.47	5.069	14.223	9.712	17.288	7.703	18.435	15.626	11.034	12.601	10.909	4.977
Glyma.01G189800	17.489	17.763	4.944	9.609	9.085	17.506	5.029	7.46	5.456	4.615	6.388	12.051
Glyma.01G190000	1.284	0.147	14.259	4.141	1.297	0.444	5.023	1.53	1.541	2.496	0.723	0.734
Glyma.01G190100	12.632	23.703	15.722	34.296	52.412	63.932	33.964	39.496	16.662	29.5	33.691	22.239
Glyma.01G190700	9.991	33.346	9.263	8.112	5.89	30.16	6.257	6.434	9.348	6.59	11.35	26.194
Glyma.01G190900	6.225	9.307	69.47	61.203	224.521	5.681	153.819	178.813	32.091	97.699	141.937	28.182
Glyma.01G191200	31.61	6.233	17.114	21.137	2.341	51.982	6.257	2.79	41.493	16.358	1.087	19.446
Glyma.01G191300	0.336	1.094	0.461	0.726	0.441	3.887	0.303	0.61	0.238	0.334	0.313	2.934
Glyma.01G191500	95.349	51.702	4.346	61.179	19.327	10.795	49.727	27.417	7.029	72.436	18.259	10.118
Glyma.01G191600	308.047	166.716	9.382	201.321	61.614	28.33	160.534	86.438	16.162	219.574	57.597	26.446
Glyma.01G191900	2.12	1.875	5.236	3.676	7.596	2.998	4.876	6.215	3.049	3.128	3.146	1.838
Glyma.01G192100	7.859	14.99	43.967	9.463	15.916	90.174	11.193	15.748	59.836	10.857	13.861	50.829
Glyma.01G192300	46.679	28.609	7.213	44.156	17.678	16.194	37.676	25.893	24.014	55.049	19.552	20.291
Glyma.01G192500	1.908	0.644	10.912	9.35	9.096	1.058	20.445	21.726	25.034	16.526	19.168	7.208
Glyma.01G192600	22.213	8.739	7.409	10.089	12.255	0.837	4.496	4.354	0.471	7.239	27.398	12.418
Glyma.01G193200	6.755	9.976	8.081	8.404	21.71	7.459	15.609	26.354	6.318	7.792	14.289	4.74
Glyma.01G193300	0.621	2.115	1.383	0.945	0.424	16.139	0.015	0	0.025	0	0	6.838
Glyma.01G193500	0.259	0.089	3.659	0.855	0.246	0.32	1.034	0.3	0.376	0.258	0.294	0.383
Glyma.01G193600	4.697	12.816	9.399	5.962	8.94	20.749	10.443	19.006	30.902	7.733	5.797	15.18
Glyma.01G193700	31.741	36.746	26.413	39.214	45.287	16.164	40.502	34.262	11.944	40.909	51.159	13.813
Glyma.01G193800	28.922	69.432	129.302	55.53	78.116	63.271	52.424	52.833	52.137	45.594	133.369	127.308
Glyma.01G193900	0.205	0.356	3.087	1.235	0.965	1.833	2.244	2.521	7.511	1.827	1.761	2.501
Glyma.01G194200	3.595	3.634	9.177	10.701	7.684	4.39	15.117	9.982	11.806	13.75	6.978	6.787
Glyma.01G194700	2.359	4.901	8.793	2.826	5.262	9.796	2.852	5.69	7.878	1.72	4.604	8.192
Glyma.01G194900	6.581	13.412	17.879	8.251	16.174	36.999	8.033	17.587	25.081	6.702	11.328	28.186
Glyma.01G195000	1.391	0.835	13.206	6.578	14.338	1.098	19.927	21.03	10.715	8.587	16.124	3.632
Glyma.01G195600	14.157	6.626	1.282	5.527	1.661	4.348	1.329	1.773	0.849	3.082	0.759	3.688
Glyma.01G196600	62.423	26.23	12.002	35.711	21.463	40.126	20.666	24.015	11.916	37.482	20.459	23.574
Glyma.01G196800	6.954	3.374	23.33	26.056	61.209	1.06	21.362	32.017	5.315	25.643	24.355	7.364
Glyma.01G197500	1.778	0.694	16.719	14.576	14.862	0.356	19.881	18.976	24.687	11.876	14.081	4.79
Glyma.01G197800	5.94	8.308	26.44	27.125	24.003	7.272	35.629	31.172	41.737	36.936	21.322	11.308
Glyma.01G198100	46.127	61.883	132.067	87.217	70.757	85.363	79.224	69.228	10.794	21.038	46.013	14.746
Glyma.01G198900	1.229	3.281	4.254	1.579	1.816	3.584	1.187	1.776	0.934	0.799	3.611	4.127
Glyma.01G199200	9.572	8.329	8.419	10.19	3.144	5.868	8.057	4.269	7.979	12.556	8.827	28.919
Glyma.01G199400	18.148	14.495	3.037	12.128	12.118	6.086	6.871	12.407	7.664	12.361	15.571	7.646
Glyma.01G199600	2.053	1.803	4.711	2.554	1.578	5.79	3.558	2.309	3.086	2.31	2.679	6.998
Glyma.01G199700	731.937	380.041	393.436	515.025	374.397	230.466	471.605	379.355	514.401	532.065	413.859	338.708
Glyma.01G200200	24.437	39.158	17.049	14.78	19.065	52.694	14.867	20.946	32.281	17.024	10.712	39.765
Glyma.01G200800	9.542	7.457	10.035	24.209	15.526	10.371	38.479	24.991	24.72	30.071	12.432	11.969
Glyma.01G201000	254.475	141.952	223.751	280.585	264.752	101.083	301.532	197.068	164.847	292.032	227.818	161.469
Glyma.01G201300	0.901	2.481	5.057	1.752	3.163	7.521	4.029	3.316	7.647	3.11	3.258	4.809
Glyma.01G203100	56.572	11.783	6.249	27.836	3.844	9.572	13.1	4.655	11.605	28.722	3.86	10.163
Glyma.01G203300	5.95	13.698	10.287	9.815	11.329	23.844	11.94	7.974	11.304	9.536	4.855	23.547
Glyma.01G203400	14.394	32.727	42.526	25.538	8.824	141.447	4.553	5.869	38.895	7.124	16.609	254.266
Glyma.01G203500	2.306	4.034	1.384	1.808	1.293	10.479	1.111	1.118	1.519	0.662	1.026	4.278
Glyma.01G203600	12.518	27.394	88.552	35.484	37.619	31.843	31.336	27.128	36.291	33.545	95.626	87.835
Glyma.01G204200	2.464	7.045	12.559	2.829	25.832	5.118	5.481	7.22	4.323	3.119	2.716	6.224
Glyma.01G204300	5.928	10.155	16.147	7.282	11.699	24.305	9.755	9.039	15.759	6.447	9.473	22.738
Glyma.01G204400	55.751	48.201	36.942	12.626	43.155	79.06	42.605	30.934	1.063	0.632	5.793	26.64
Glyma.01G205100	6.838	7.528	2.88	4.338	2.39	7.666	3.35	3.438	2.745	3.878	2.209	4.312
Glyma.01G205700	113.684	87.999	36.14	61.923	40.977	57.049	42.421	46.124	58.951	66.143	39.536	72.799
Glyma.01G205900	18.193	57.178	20.332	16.708	47.631	40.366	13.295	27.676	9.288	10.412	10.549	25.951
Glyma.01G206500	1.571	1.636	13.382	2.287	4.022	20.203	3.052	5.654	30.684	2.972	4.476	20.291
Glyma.01G206600	13.361	4.006	2.43	4.077	1.515	10.96	6.143	4.487	2.741	5.707	2.968	8.713
Glyma.01G207200	8.117	22.505	24.755	9.943	24.905	35.905	13.483	20.078	18.678	8.894	18.535	25.77
Glyma.01G207300	14.756	20.549	7.642	52.742	17.759	17.264	37.976	28.126	8.606	15.288	9.969	6.19
Glyma.01G207500	40.999	70.355	32.338	25.532	62.403	27.098	37.865	35.439	14.121	12.323	16.089	18.303
Glyma.01G207700	38.543	96.752	233.316	77.926	93.559	78.564	61.978	48.117	45.04	62.456	248.626	216.207
Glyma.01G208000	70.327	18.576	0.541	40.635	10.975	0.977	29.968	12.455	1.572	42.617	6.804	1.068
Glyma.01G208100	13.764	21.906	26.136	17.288	21.611	16.349	17.114	14.27	13.131	17.518	40.093	26.364
Glyma.01G208200	16.058	8.089	4.15	6.318	11.795	0.544	2.911	7.513	2.969	3.154	2.15	1.669
Glyma.01G208700	2.123	1.495	3.996	2.714	5.225	7.854	4.708	6.51	9.237	4.606	4.767	5.304
Glyma.01G209500	0.068	0	45.026	28.447	0.812	0	15.782	0.799	37.249	13.851	1.296	2.016
Glyma.01G209800	4.344	14.695	17.063	6.63	12.185	18.261	6.565	7.256	6.872	5.649	28.885	24.676
Glyma.01G210400	1.544	1.131	1.513	3.807	4.247	3.368	11.887	5.993	6.121	6.113	4.606	3.611
Glyma.01G210600	0.942	0.173	4.629	7.111	2.893	0.372	11.108	5.164	7.803	10.892	3.86	1.462
Glyma.01G210800	0.243	4.591	15.396	2.248	10.564	8.013	6.621	12.847	5.236	3.629	41.384	13.059
Glyma.01G211200	20.554	66.958	24.571	32.22	68.008	21.657	29.431	42.217	14.618	32.373	66.418	24.491
Glyma.01G211500	4.747	2.387	0.939	0.897	0.994	3.389	0.649	1.647	1.546	0.91	0.567	0.795
Glyma.01G211900	2.896	4.477	10.781	6.102	15.463	4.374	16.222	15.304	19.28	9.253	11.163	6.216
Glyma.01G212000	1.992	5.438	8.15	4.699	4.801	4.528	2.98	3.634	4.167	4.144	8.265	9.462
Glyma.01G212200	7.851	6.243	2.399	5.025	3.243	10.74	3.519	2.235	2.388	3.03	1.429	5.879
Glyma.01G212300	4.674	2.92	0.314	3.701	1.796	0.603	3.462	1.792	0.331	4.294	1.766	1.002
Glyma.01G212700	10.82	4.385	3.72	8.867	4.63	3.387	8.464	5.85	5.128	9.535	4.59	3.663
Glyma.01G212800	2.478	2.937	12.365	7.045	6.79	11.064	9.293	8.978	0.521	9.874	4.918	9.667
Glyma.01G213500	2.24	12.901	6.626	2.602	2.662	12.258	1.482	3.48	6.284	1.169	1.992	5.122
Glyma.01G213600	0.74	1.305	7.227	5.869	4.139	2.922	10.213	8.168	11.213	8.171	6.605	3.232
Glyma.01G213700	57.725	40.138	4.287	48.271	24.198	24.354	34.441	30.723	15.825	53.124	26.513	17.555
Glyma.01G214200	0.235	0.955	0.833	10.807	8.748	0.924	1.437	16.316	0.444	0.355	2.636	5.266
Glyma.01G214300	329.47	315.554	90.79	196.831	160.619	111.621	111.267	114.769	59.885	183.601	202.56	140.809
Glyma.01G214600	31.831	69.935	38.482	47.553	51.683	77.703	15.763	31.521	21.167	9.598	10.331	26.796
Glyma.01G214800	59.376	52.707	25.051	40.081	20.649	71.117	24.807	27.081	51.341	38.674	17.241	60.911
Glyma.01G215100	15.014	8.439	3.934	8.013	2.662	17.079	11.576	2.681	5.985	9.486	2.585	21.786
Glyma.01G215500	67.522	101.205	445.815	144.59	471.046	73.567	265.979	246.456	11.415	37.932	86.433	77.322
Glyma.01G215600	0.845	1.782	6.195	0.801	6.404	2.199	1.776	2.788	0.779	0.552	0.741	1.424
Glyma.01G217400	27.358	22.065	3.586	30.931	33.027	2.458	28.145	21.796	3.122	34.158	14.877	1.56
Glyma.01G217700	15.827	19.245	0.655	5.392	2.689	5.502	13.96	5.295	0.256	1.071	0.757	2.342
Glyma.01G217900	7.539	8.884	4.267	5.315	10.092	7.423	7.123	9.909	3.335	4.462	3.951	3.764
Glyma.01G218000	0.984	1.099	4.003	5.509	3.856	1.235	3.465	2.651	2.724	6.042	6.208	4.054
Glyma.01G218100	1.888	1.903	7.704	8.298	7.935	1.269	11.04	11.004	13.927	11.816	10.829	5.317
Glyma.01G218600	35.65	18.243	4.966	22.363	6.508	8.7	8.495	5.826	2.767	8.175	4.49	5.845
Glyma.01G218800	2.06	1.482	3.253	5.127	4.06	1.69	4.614	3.818	3.108	5.556	2.469	2.775
Glyma.01G219001	1.751	4.205	2.908	2.514	3.446	6.455	2.055	3.838	3.167	2.205	1.522	5.791
Glyma.01G219400	6.94	89.683	13.392	3.902	9.192	19.432	1.644	3.594	5.645	0.797	3.154	20.091
Glyma.01G219502	268.624	462.084	25.804	168.329	179.872	61.92	96.92	162.892	43.737	156.381	129.259	48.019
Glyma.01G219600	2.902	4.094	13.205	6.715	6.428	9.737	9.637	9.674	12.272	9.271	12.307	12.106
Glyma.01G220600	1.678	1.154	11.652	34.598	13.156	0.584	21.052	11.501	21.137	38.369	12.446	2.234
Glyma.01G221200	2.918	6.178	3.179	2.657	4.181	18.456	4.356	3.209	3.179	2.522	1.782	13.81
Glyma.01G221400	120.53	67.957	6.63	106.37	33.483	12.865	85.149	36.865	8.989	101.891	26.374	7.602
Glyma.01G221500	46.914	48.159	54.218	25.573	26.8	121.39	12.899	23.41	75.01	23.414	20.274	93.244
Glyma.01G221900	12.502	2.449	2.449	17.526	10.686	2.443	7.856	18.088	0.818	4.301	0.865	0.927
Glyma.01G222100	70.001	195.821	315.964	129.258	164.361	125.075	110.91	93.071	62.752	111.158	428.728	310.317
Glyma.01G222200	2.375	6.324	2.045	0.301	0.151	0.472	0.039	0.102	0	0.017	0.07	0.017
Glyma.01G222700	5.734	24.416	11.192	6.244	13.838	27.07	7.603	11.547	7.385	5.754	9.494	10.685
Glyma.01G223000	1.564	2.174	6.929	1.851	2.735	2.64	7.684	11.126	1.902	1.309	1.274	1.589
Glyma.01G223800	0.981	1.406	7.047	2.761	2.541	4.802	2.371	2.636	2.359	1.937	4.336	9.181
Glyma.01G223900	1.327	1.101	2.001	3.431	2.778	0.719	2.879	2.931	3.509	3.39	2.205	1.389
Glyma.01G224100	0.136	0.32	11.504	6.083	3.128	0.485	5.775	5.964	17.654	12.489	36.01	20.676
Glyma.01G224800	2.817	2.4	0.582	0.984	0.439	8.452	1.796	0.515	0.341	0.955	0.378	2.279
