Geneid	B03-6	B03-12	B03-16	A05-6	A05-12	A05-16	A07-6	A07-12	A07-16	B09-6	B09-12	B09-16
Glyma.01G035700	7.582	15.452	37.806	17.696	15.172	22.003	13.784	11.026	15.311	14.169	31.275	58.363
Glyma.01G036000	0.764	6.766	5.601	2.195	53.965	1.48	24.534	10.368	1.04	1.789	12.421	0.896
Glyma.01G036500	10.971	5.309	13.041	20.251	21.052	11.551	25.831	19.819	13.432	27.05	12.381	11.615
Glyma.01G036800	0.758	1.076	2.083	0.734	0.4	2.664	0.482	0.151	0.151	0.886	2.184	4.32
Glyma.01G036900	42.364	18.483	1.492	9.928	1.894	4.647	6.457	1.944	0.344	8.836	1.651	1.933
Glyma.01G037800	1.598	0.216	0.538	3.798	4.08	0.262	1.576	2.871	1.467	1.043	2.308	0.283
Glyma.01G038002	0.826	2.48	1.031	2.17	1.214	4.66	1.846	2.253	3.675	1.808	1.72	2.137
Glyma.01G038400	0.694	0.56	3.055	9.465	3.343	3.083	6.533	12.222	7.379	4.306	4.027	2.228
Glyma.01G038600	193.513	127.135	13.198	230.327	118.073	65.645	251.069	186.871	38.234	326.66	183.05	104.889
Glyma.01G039000	2.993	1.312	1.757	4.528	2.666	3.905	5.064	4.15	7.324	7.237	3.425	4.226
Glyma.01G039200	4.234	4.972	4.7	10.416	14.368	4.13	8.165	15.533	8.574	7.914	7.474	6.163
Glyma.01G039900	0.835	0.702	4.07	4.58	3.905	0.822	10.193	6.525	7.554	6.949	3.225	1.824
Glyma.01G040200	251.616	691.568	78.42	234.55	331.403	69.083	183.942	253.414	153.842	221.327	356.334	100.472
Glyma.01G040300	3.63	4.567	13.726	11.445	10.279	20.4	17.686	15.235	31.579	17.265	15.341	18.51
Glyma.01G040400	6.053	3.866	1.992	5.826	3.566	11.684	3.397	3.475	5.311	3.884	1.653	10.782
Glyma.01G040600	0.763	0.842	1.182	3.326	1.026	1.391	1.432	1.179	6.52	4.075	1.431	1.645
Glyma.01G040700	35.461	65.079	29.708	26.67	27.177	25.16	16.156	20.666	8.38	18.327	18.274	40.139
Glyma.01G041400	73.787	122.029	104.753	61.466	77.806	127.927	45.027	30.761	7.78	14.507	27.177	38.717
Glyma.01G041700	3.808	22.408	11.665	32.222	31.16	32.42	8.247	20.817	5.696	9.003	7.716	16.023
Glyma.01G042300	70.491	76.694	29.235	40.499	36.729	32.011	21.145	22.927	8.39	24.966	19.98	40.073
Glyma.01G043600	1.474	4.55	2.07	0.662	0.42	6.487	0.173	0.441	0.675	0.116	0.937	6.109
Glyma.01G044100	4.746	11.396	7.864	5.527	13.569	20.82	7.66	8.501	7.817	5.248	6.273	11.588
Glyma.01G044200	7.151	20.621	24.175	9.44	18.523	12.113	16.182	17.564	5.941	14.653	15.552	13.156
