Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS130	0.000	0.035	0.000	0.034	0.033	0.000	1.462	1.738	0.276	49.409	66.693	55.205	0.000	0.073	0.069	0.031	1.694	0.106
PLBR_LOCUS131	0.000	0.088	0.000	0.000	0.081	0.000	1.632	2.909	0.196	47.504	56.173	55.837	0.000	0.000	0.043	0.546	3.098	0.000
PLBR_LOCUS132	0.000	0.014	0.027	0.000	0.000	0.000	0.151	0.121	0.016	3.854	9.369	7.773	0.100	0.015	0.250	0.025	0.174	0.000
PLBR_LOCUS133	0.050	0.000	0.056	0.056	0.000	0.000	5.474	11.202	1.438	177.066	182.424	176.513	0.118	0.183	0.000	1.093	11.739	0.235
PLBR_LOCUS134	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.166	3.295	1.280	0.000	0.000	0.088	0.000	0.021	0.000
PLBR_LOCUS135	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.189	0.959	0.648	0.088	0.000	0.086	0.078	0.055	0.000
PLBR_LOCUS136	0.077	0.000	0.000	0.000	0.166	0.000	3.429	4.926	1.201	172.106	188.227	152.575	0.000	0.186	0.088	0.558	10.635	0.540
PLBR_LOCUS137	0.000	0.000	0.000	0.000	0.029	0.025	1.899	2.880	0.385	33.250	28.338	41.330	0.157	0.065	0.277	0.195	1.889	0.031
PLBR_LOCUS138	0.073	0.000	0.000	0.000	0.000	0.000	2.352	3.548	0.855	67.406	56.000	71.622	0.000	0.089	0.000	0.227	4.969	0.000
PLBR_LOCUS139	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.122	0.000	0.371	0.308	0.622	0.037	0.000	0.054	0.016	0.052	0.000
PLBR_LOCUS140	0.000	0.000	0.000	0.000	0.000	0.000	0.433	0.000	0.000	0.047	1.369	2.365	0.077	0.026	0.075	0.045	0.000	0.000
PLBR_LOCUS141	0.000	0.000	0.000	0.000	0.000	0.000	0.214	0.164	0.000	2.839	3.389	2.486	0.058	0.030	0.141	0.154	0.109	0.000
PLBR_LOCUS142	0.000	0.000	0.000	0.000	0.000	0.000	0.529	0.210	0.062	6.748	9.155	10.156	0.083	0.029	0.217	0.197	0.286	0.028
PLBR_LOCUS143	0.063	0.000	0.000	0.000	0.000	0.000	0.078	0.000	0.000	0.203	0.866	13.467	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS144	0.025	0.000	0.000	0.000	0.000	0.000	0.431	1.179	0.129	13.382	11.700	10.439	0.000	0.000	0.000	0.077	0.436	0.000
PLBR_LOCUS145	0.000	0.000	0.000	0.063	0.000	0.053	0.671	0.378	0.260	37.542	90.503	61.309	0.000	0.069	0.098	0.030	0.501	0.000
PLBR_LOCUS146	0.000	0.000	0.000	0.000	0.000	0.080	1.060	0.945	0.223	60.539	68.317	63.050	0.000	0.104	0.196	0.000	1.597	0.000
PLBR_LOCUS147	0.000	0.024	0.000	0.000	0.000	0.000	0.051	0.161	0.054	12.112	14.431	7.092	0.000	0.000	0.000	0.022	0.228	0.000
PLBR_LOCUS148	0.157	0.000	0.000	0.000	0.000	0.058	4.231	6.852	1.672	227.409	244.890	156.344	0.037	0.304	0.143	1.461	11.005	0.220
PLBR_LOCUS149	0.171	0.000	0.000	0.000	0.000	0.000	0.318	0.662	0.334	129.161	127.330	98.953	0.000	0.207	0.196	0.089	1.973	0.100
PLBR_LOCUS150	0.045	0.105	0.000	0.050	0.024	0.000	9.999	13.322	1.702	122.512	99.555	129.845	0.079	0.137	0.567	2.616	10.245	0.264
PLBR_LOCUS151	0.000	0.118	0.075	0.037	0.036	0.000	4.368	6.527	1.093	169.390	233.016	175.816	0.118	0.529	0.038	1.427	6.413	0.275
PLBR_LOCUS152	0.035	0.000	0.000	0.000	0.038	0.000	1.122	1.500	0.363	29.201	32.547	34.555	0.163	0.042	0.318	0.144	1.988	0.000
PLBR_LOCUS153	0.000	0.000	0.000	0.000	0.039	0.000	0.045	0.079	0.000	10.800	11.685	6.147	0.000	0.000	0.082	0.000	0.079	0.000
PLBR_LOCUS154	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.293	9.197	7.818	4.497	0.053	0.055	0.258	0.140	0.148	0.000
PLBR_LOCUS155	0.000	0.095	0.092	0.091	0.088	0.152	28.922	44.625	8.606	330.344	198.131	272.911	2.197	0.396	4.384	6.681	50.890	0.764
PLBR_LOCUS156	0.000	0.030	0.000	0.028	0.000	0.000	0.883	1.238	0.431	48.034	59.921	49.898	0.060	0.185	0.029	0.317	2.795	0.000
PLBR_LOCUS157	0.013	0.000	0.000	0.015	0.014	0.000	1.944	3.161	0.841	48.670	64.097	52.242	0.000	0.048	0.060	1.189	1.882	0.093
PLBR_LOCUS158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.520	0.782	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS159	0.000	0.000	0.000	0.000	0.000	0.000	0.349	0.233	0.000	7.485	11.659	3.149	0.000	0.000	0.000	0.000	0.155	0.000
PLBR_LOCUS160	0.000	0.052	0.000	0.000	0.000	0.000	2.493	2.123	0.349	74.971	78.789	70.497	0.105	0.054	0.307	0.371	5.055	0.105
PLBR_LOCUS161	0.000	0.060	0.000	0.019	0.000	0.000	1.392	2.081	0.315	40.222	40.274	36.669	0.000	0.063	0.079	0.251	2.314	0.040
PLBR_LOCUS162	0.000	0.000	0.000	0.165	0.000	0.000	2.949	6.818	2.904	162.564	132.454	135.946	0.174	0.090	0.085	0.771	12.164	0.000
PLBR_LOCUS163	0.000	0.000	0.000	0.000	0.000	0.000	0.817	1.569	0.396	19.502	18.242	17.407	0.000	0.000	0.000	0.315	1.782	0.000
PLBR_LOCUS164	0.000	0.000	0.000	0.000	0.000	0.034	0.714	1.193	0.516	33.516	54.006	37.957	0.042	0.000	0.123	0.410	2.253	0.042
PLBR_LOCUS165	0.027	0.000	0.091	0.000	0.000	0.050	1.802	2.409	0.666	71.007	90.594	58.928	0.032	0.098	0.000	0.670	3.488	0.095
PLBR_LOCUS166	0.000	0.000	0.000	0.013	0.025	0.011	1.882	2.991	0.521	28.031	30.295	24.787	0.000	0.057	0.013	0.476	1.008	0.083
PLBR_LOCUS167	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.078	0.031	3.033	3.529	2.308	0.000	0.000	0.000	0.000	0.026	0.000
PLBR_LOCUS168	0.000	0.000	0.108	0.000	0.207	0.089	14.611	24.146	5.117	437.977	490.096	479.358	0.224	0.465	0.219	6.855	36.205	0.673
PLBR_LOCUS169	0.000	0.000	0.000	0.000	0.000	0.000	1.886	4.132	0.495	54.324	72.988	70.983	0.000	0.000	0.290	1.051	4.455	0.000
PLBR_LOCUS170	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.795	0.170	30.848	36.259	30.107	0.000	0.119	0.037	0.034	0.647	0.115
PLBR_LOCUS171	0.000	0.000	0.000	0.000	0.186	0.000	0.000	0.063	0.150	36.332	51.502	8.003	0.000	0.070	0.000	0.000	0.000	0.067
PLBR_LOCUS172	0.000	0.000	0.000	0.000	0.000	0.000	0.580	1.699	0.348	39.343	41.337	36.050	0.000	0.081	0.000	0.277	1.615	0.078
PLBR_LOCUS173	0.036	0.000	0.000	0.020	0.000	0.000	3.549	6.207	1.085	61.750	66.042	64.727	0.064	0.066	0.041	1.334	3.880	0.106
PLBR_LOCUS174	0.374	0.000	0.000	0.000	0.000	0.000	8.584	17.580	2.437	621.355	635.029	348.061	0.658	0.227	1.070	1.940	32.065	0.219
PLBR_LOCUS175	0.025	0.030	0.000	0.056	0.000	0.000	1.385	2.624	0.347	31.392	33.696	25.250	0.000	0.000	0.044	0.369	1.924	0.000
PLBR_LOCUS176	0.000	0.039	0.000	0.074	0.036	0.000	7.565	10.946	2.562	257.161	269.009	222.590	0.039	0.324	0.038	1.556	8.900	0.273
PLBR_LOCUS177	0.000	0.101	0.000	0.000	0.000	0.000	2.358	4.108	0.450	86.362	85.160	78.758	0.202	0.000	0.000	1.076	4.558	0.000
PLBR_LOCUS178	0.000	0.000	0.000	0.000	0.000	0.000	0.823	1.299	0.266	24.368	26.392	27.119	0.000	0.000	0.000	0.424	1.459	0.060
PLBR_LOCUS179	0.036	0.000	0.000	0.080	0.000	0.000	3.391	5.290	0.844	119.105	157.149	118.575	0.042	0.306	0.123	0.672	4.427	0.042
PLBR_LOCUS180	0.000	0.000	0.000	0.000	0.000	0.000	0.346	0.000	0.000	0.600	1.368	1.080	0.000	0.000	0.000	0.289	0.000	0.000
PLBR_LOCUS181	0.057	0.000	0.032	0.094	0.092	0.053	4.842	8.978	1.954	115.716	158.328	122.841	0.099	0.309	0.227	0.822	7.648	0.133
PLBR_LOCUS182	0.000	0.000	0.000	0.000	0.067	0.000	0.847	0.481	0.243	88.704	172.054	52.919	0.073	0.452	0.142	0.064	0.682	0.000
PLBR_LOCUS183	0.047	0.000	0.000	0.000	0.000	0.022	1.859	3.029	0.793	41.572	58.990	48.469	0.000	0.028	0.000	0.874	3.113	0.082
PLBR_LOCUS184	0.000	0.000	0.000	0.044	0.000	0.000	0.243	0.390	0.000	5.817	5.847	5.267	0.000	0.000	0.045	0.000	0.216	0.000
PLBR_LOCUS185	0.118	0.000	0.000	0.000	0.000	0.000	3.523	5.496	2.005	116.385	110.610	126.825	0.000	0.287	0.000	1.350	14.827	0.277
PLBR_LOCUS186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.451	0.822	1.023	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS187	0.000	0.039	0.000	0.000	0.000	0.000	9.085	12.461	1.641	70.461	51.552	78.938	0.078	0.080	0.000	2.716	10.636	0.155
PLBR_LOCUS188	0.053	0.000	0.059	0.058	0.000	0.049	10.478	16.883	3.282	174.364	145.571	176.810	0.000	0.255	0.060	3.701	17.644	0.430
PLBR_LOCUS189	0.000	0.000	0.000	0.000	0.044	0.000	6.927	10.728	1.859	42.848	38.499	37.053	0.000	0.000	0.000	4.017	5.734	0.191
PLBR_LOCUS190	0.000	0.000	0.000	0.000	0.000	0.000	0.584	0.372	0.219	9.176	9.988	7.175	0.197	0.082	0.154	0.209	0.443	0.000
PLBR_LOCUS191	0.000	0.000	0.000	0.000	0.000	0.000	0.600	1.124	0.221	5.618	3.821	5.457	0.000	0.029	0.028	0.176	0.878	0.000
PLBR_LOCUS192	0.000	0.000	0.044	0.000	0.000	0.000	1.063	2.327	0.355	47.282	66.455	72.479	0.137	0.095	0.223	0.121	1.627	0.046
PLBR_LOCUS193	0.000	0.000	0.000	0.000	0.048	0.000	5.055	8.270	0.934	86.781	96.008	79.831	0.105	0.109	0.000	1.301	4.971	0.000
PLBR_LOCUS194	0.036	0.000	0.000	0.000	0.000	0.000	3.626	4.060	0.743	130.181	97.813	105.577	0.084	0.043	0.449	0.481	4.387	0.042
PLBR_LOCUS195	0.749	0.500	0.120	0.752	0.462	0.598	86.527	103.705	18.394	2176.646	2488.159	1782.839	5.556	3.418	13.908	23.185	95.739	2.632
PLBR_LOCUS196	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	2.047	6.522	2.236	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS197	0.000	0.000	0.000	0.000	0.000	0.000	1.046	1.465	0.314	47.247	53.743	54.944	0.000	0.000	0.000	0.375	4.368	0.000
PLBR_LOCUS198	0.000	0.000	0.000	0.000	0.022	0.019	0.732	1.193	0.186	19.887	22.299	18.065	0.000	0.000	0.000	0.359	0.895	0.000
PLBR_LOCUS199	0.000	0.000	0.000	0.000	0.000	0.000	2.591	2.695	0.605	97.781	112.440	69.819	0.272	0.000	0.133	1.083	5.484	0.544
PLBR_LOCUS200	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.029	0.000	0.743	1.278	0.572	0.031	0.000	0.030	0.028	0.058	0.000
PLBR_LOCUS201	0.000	0.000	0.000	0.000	0.000	0.000	0.313	0.349	0.247	12.137	17.509	9.883	0.000	0.000	0.072	0.000	0.693	0.000
PLBR_LOCUS202	0.000	0.000	0.000	0.000	0.000	0.000	1.328	2.900	0.349	71.339	72.340	70.356	0.000	0.000	0.122	0.278	3.941	0.063
PLBR_LOCUS203	0.000	0.000	0.000	0.000	0.000	0.000	0.618	1.174	0.476	19.833	16.470	17.198	0.000	0.040	0.038	0.172	0.693	0.039
PLBR_LOCUS204	0.015	0.000	0.016	0.000	0.000	0.000	0.218	0.032	0.000	0.943	0.990	0.541	0.034	0.000	0.050	0.000	0.016	0.000
PLBR_LOCUS205	0.000	0.000	0.000	0.038	0.000	0.000	1.468	2.917	0.705	43.517	36.358	47.458	0.000	0.041	0.039	0.842	3.011	0.000
PLBR_LOCUS206	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	3.143	9.193	142.006	0.176	0.000	0.000	0.000	0.000	0.088
PLBR_LOCUS207	0.037	0.022	0.000	0.000	0.000	0.000	2.768	4.201	1.178	56.870	70.035	99.329	0.065	0.157	0.190	0.842	3.162	0.130
PLBR_LOCUS208	0.034	0.000	0.000	0.112	0.036	0.031	4.276	5.811	0.523	82.628	128.047	100.168	0.118	0.203	0.077	1.007	6.805	0.275
PLBR_LOCUS209	0.000	0.000	0.000	0.000	0.056	0.000	7.547	12.885	2.688	189.635	269.875	171.311	0.242	0.626	0.236	2.621	12.523	0.060
PLBR_LOCUS210	0.000	0.000	0.022	0.022	0.000	0.036	2.807	5.047	0.864	63.756	61.007	55.173	0.000	0.118	0.022	0.567	3.087	0.160
PLBR_LOCUS211	0.000	0.000	0.000	0.000	0.000	0.000	0.770	2.197	0.809	62.740	76.617	64.038	0.000	0.151	0.000	0.258	4.095	0.000
PLBR_LOCUS212	0.000	0.000	0.000	0.057	0.000	0.000	1.966	4.126	0.133	16.263	105.029	42.329	0.000	0.000	0.000	0.159	3.427	0.060
PLBR_LOCUS213	0.000	0.000	0.000	0.079	0.000	0.000	0.088	0.039	0.000	21.483	71.400	8.878	0.042	0.000	0.041	0.037	0.078	0.000
PLBR_LOCUS214	0.000	0.000	0.095	0.000	0.000	0.000	2.308	7.107	1.984	185.773	211.811	185.755	0.099	0.205	0.097	0.175	13.382	0.496
PLBR_LOCUS215	0.000	0.056	0.000	0.000	0.000	0.000	0.480	0.588	0.315	32.615	87.293	58.147	0.113	0.059	0.000	0.050	0.159	0.000
PLBR_LOCUS216	0.000	0.000	0.000	0.000	0.000	0.000	2.366	5.403	0.872	37.951	32.824	37.509	0.078	0.000	0.000	0.625	2.722	0.118
PLBR_LOCUS217	0.000	0.000	0.000	0.058	0.000	0.000	0.776	0.692	0.136	28.851	22.748	19.427	0.061	0.063	0.000	0.054	0.516	0.061
PLBR_LOCUS218	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.305	0.051	3.010	3.095	2.479	0.046	0.000	0.181	0.041	0.043	0.000
PLBR_LOCUS219	0.000	0.041	0.000	0.039	0.000	0.000	1.181	0.429	0.322	35.613	42.384	20.663	0.041	0.171	0.363	0.329	1.782	0.165
PLBR_LOCUS220	0.000	0.000	0.000	0.000	0.000	0.000	0.906	9.815	0.586	74.324	48.592	54.495	0.000	0.136	0.129	0.991	7.285	0.000
PLBR_LOCUS221	0.064	0.149	0.144	0.355	0.276	0.536	239.885	509.859	85.978	1182.216	688.885	1125.477	0.150	1.242	0.878	123.028	493.571	11.014
PLBR_LOCUS222	0.000	0.000	0.000	0.000	0.035	0.000	0.202	0.180	0.000	1.333	1.057	2.107	0.038	0.000	0.187	0.034	0.000	0.000
PLBR_LOCUS223	0.000	0.000	0.000	0.000	0.000	0.000	1.034	1.786	0.339	34.519	34.410	25.022	0.031	0.000	0.060	0.216	1.002	0.000
PLBR_LOCUS224	0.000	0.000	0.000	0.000	0.000	0.000	0.756	0.674	0.183	8.821	9.152	10.132	0.000	0.000	0.000	0.097	0.567	0.055
PLBR_LOCUS225	0.000	0.000	0.000	0.000	0.000	0.000	1.573	2.912	1.017	60.485	59.209	69.428	0.229	0.118	0.000	0.405	2.144	0.114
PLBR_LOCUS226	0.000	0.103	0.000	0.098	0.000	0.000	6.428	9.324	2.289	147.078	127.402	143.873	0.103	0.107	0.101	1.913	11.004	0.309
PLBR_LOCUS227	0.044	0.000	0.000	0.000	0.000	0.000	2.746	3.869	0.519	30.842	44.603	47.571	0.000	0.000	0.051	0.643	2.531	0.000
PLBR_LOCUS228	0.000	0.000	0.000	0.000	0.000	0.000	1.082	1.854	0.000	14.780	18.618	23.269	0.000	0.081	0.000	0.070	0.811	0.000
PLBR_LOCUS229	0.000	0.000	0.000	0.027	0.026	0.022	1.432	2.234	0.564	43.040	45.170	47.532	0.000	0.029	0.138	0.424	2.643	0.056
PLBR_LOCUS230	0.000	0.000	0.000	0.000	0.000	0.000	0.242	0.054	0.000	1.101	6.217	0.630	0.000	0.000	0.112	0.000	0.161	0.000
PLBR_LOCUS231	0.000	0.000	0.000	0.000	0.000	0.000	0.199	0.099	0.023	1.497	3.644	2.199	0.000	0.000	0.041	0.056	0.157	0.021
PLBR_LOCUS232	0.112	0.131	0.000	0.062	0.000	0.000	3.136	6.274	1.025	143.396	139.331	100.915	0.066	0.000	0.000	0.583	5.062	0.066
PLBR_LOCUS233	0.000	0.047	0.000	0.000	0.000	0.000	0.793	1.590	0.260	18.203	19.783	12.859	0.000	0.000	0.000	0.124	1.054	0.000
PLBR_LOCUS234	0.000	0.000	0.000	0.000	0.000	0.066	1.402	3.203	0.645	83.535	106.091	62.157	0.000	0.600	0.000	0.073	3.184	0.000
PLBR_LOCUS235	0.000	0.000	0.000	0.000	0.000	0.000	0.851	1.644	0.149	24.708	39.371	30.814	0.000	0.000	0.000	0.356	1.131	0.000
PLBR_LOCUS236	0.106	0.000	0.000	0.000	0.000	0.000	4.075	3.985	0.829	81.504	115.117	68.603	0.000	0.000	0.121	1.759	5.300	0.124
PLBR_LOCUS237	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.244	4.959	8.193	3.864	0.000	0.000	0.000	0.000	0.206	0.000
PLBR_LOCUS238	0.000	0.025	0.000	0.000	0.000	0.000	0.189	0.529	0.000	6.007	5.865	4.455	0.000	0.000	0.000	0.000	0.406	0.000
PLBR_LOCUS239	0.000	0.000	0.000	0.000	0.000	0.000	1.459	2.286	0.697	26.090	28.771	27.000	0.000	0.130	0.041	0.592	0.940	0.000
PLBR_LOCUS240	0.000	0.000	0.000	0.000	0.019	0.000	3.118	6.077	0.836	82.732	85.863	64.899	0.142	0.105	0.159	1.187	4.706	0.183
PLBR_LOCUS241	0.000	0.000	0.000	0.000	0.000	0.000	1.587	3.570	0.238	3.601	2.867	4.876	0.000	0.000	0.000	1.011	2.611	0.071
PLBR_LOCUS242	0.000	0.000	0.000	0.000	0.000	0.000	0.761	1.631	0.335	16.278	13.980	17.536	0.000	0.036	0.045	0.123	1.697	0.012
PLBR_LOCUS243	0.000	0.000	0.000	0.000	0.000	0.000	4.215	4.563	1.265	25.043	27.017	27.891	0.000	0.147	0.139	1.763	4.134	0.284
PLBR_LOCUS244	0.093	0.000	0.000	0.052	0.000	0.043	1.266	2.206	0.000	36.650	50.278	47.841	0.054	0.225	0.000	0.193	1.428	0.054
PLBR_LOCUS245	0.000	0.000	0.000	0.000	0.000	0.000	3.437	6.128	0.821	67.008	75.555	59.447	0.295	0.000	0.048	0.828	5.767	0.000
PLBR_LOCUS246	0.116	0.000	0.000	0.000	0.084	0.000	0.432	0.214	0.101	34.714	75.377	31.597	0.045	0.000	0.044	0.040	0.255	0.000
PLBR_LOCUS247	0.000	0.000	0.000	0.000	0.000	0.000	0.098	0.000	0.000	0.227	0.155	0.091	0.000	0.032	0.060	0.000	0.000	0.000
PLBR_LOCUS248	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.438	0.600	0.561	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS249	0.030	0.000	0.000	0.000	0.000	0.000	0.941	1.979	0.474	33.913	31.540	26.637	0.036	0.037	0.208	0.220	2.301	0.036
PLBR_LOCUS250	0.000	0.000	0.067	0.133	0.000	0.000	3.051	4.710	1.485	119.027	146.500	123.622	0.211	0.364	0.000	1.120	7.120	0.422
PLBR_LOCUS251	0.000	0.000	0.000	0.000	0.012	0.000	0.381	0.289	0.015	3.253	6.819	5.721	0.040	0.000	0.065	0.106	0.188	0.027
PLBR_LOCUS252	0.000	0.000	0.000	0.088	0.000	0.000	0.720	0.642	0.172	17.276	19.647	17.743	0.000	0.000	0.000	0.164	1.160	0.000
PLBR_LOCUS253	0.000	0.000	0.000	0.000	0.019	0.000	1.322	2.299	0.162	22.613	15.074	23.234	0.187	0.043	0.081	0.203	1.152	0.021
PLBR_LOCUS254	0.037	0.000	0.000	0.000	0.000	0.000	1.256	1.721	0.290	18.414	24.641	28.506	0.000	0.045	0.042	0.384	0.910	0.000
PLBR_LOCUS255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.235	0.464	0.251	0.000	0.000	0.000	0.000	0.120	0.000
PLBR_LOCUS256	0.000	0.000	0.000	0.000	0.000	0.000	0.212	0.000	0.000	0.322	0.126	0.221	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS257	0.000	0.000	0.000	0.000	0.095	0.000	2.716	0.000	0.114	0.424	1.761	0.490	0.872	0.053	0.852	0.318	0.000	0.000
PLBR_LOCUS258	0.000	0.000	0.000	0.000	0.033	0.000	4.432	10.481	1.302	27.078	26.015	29.636	0.000	0.000	0.035	1.885	4.859	0.142
PLBR_LOCUS259	0.000	0.000	0.000	0.000	0.000	0.000	0.391	0.077	0.000	0.715	0.618	1.839	0.041	0.000	0.120	0.000	0.038	0.000
PLBR_LOCUS260	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.220	0.000	1.068	2.144	2.167	0.039	0.000	0.076	0.069	0.109	0.000
PLBR_LOCUS261	0.000	0.000	0.145	0.000	0.070	0.000	5.130	8.790	1.600	142.945	141.400	125.772	0.076	0.235	0.074	0.737	12.003	0.227
PLBR_LOCUS262	0.000	0.000	0.000	0.000	0.000	0.000	0.065	0.174	0.137	9.361	15.540	3.929	0.000	0.000	0.000	0.000	0.115	0.000
PLBR_LOCUS263	0.000	0.000	0.000	0.000	0.000	0.000	0.365	0.016	0.000	0.963	0.821	0.632	0.086	0.000	0.151	0.107	0.000	0.000
PLBR_LOCUS264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.000	5.643	6.635	4.010	0.000	0.090	0.000	0.000	0.041	0.000
PLBR_LOCUS265	0.104	0.000	0.000	0.039	0.038	0.000	2.368	3.608	0.769	96.924	128.748	127.998	0.000	0.169	0.079	0.648	4.845	0.244
PLBR_LOCUS266	0.000	0.000	0.000	0.000	0.000	0.000	1.163	4.512	0.978	23.639	18.075	26.803	0.000	0.057	0.000	1.508	2.577	0.110
PLBR_LOCUS267	0.071	0.083	0.080	0.000	0.077	0.066	6.102	10.564	2.508	258.983	280.296	242.142	0.084	0.519	0.000	2.958	15.121	0.167
PLBR_LOCUS268	0.046	0.000	0.000	0.017	0.017	0.000	2.084	3.614	0.864	78.580	85.506	60.822	0.036	0.056	0.000	0.624	2.948	0.108
PLBR_LOCUS269	0.041	0.000	0.000	0.000	0.000	0.000	1.110	1.753	0.159	36.796	38.679	32.093	0.048	0.049	0.000	0.295	1.475	0.238
PLBR_LOCUS270	0.027	0.000	0.000	0.000	0.000	0.000	1.693	3.196	0.419	66.132	60.187	65.633	0.125	0.065	0.122	0.583	3.353	0.125
PLBR_LOCUS271	0.000	0.016	0.000	0.000	0.030	0.000	1.340	2.222	0.410	25.167	29.199	28.216	0.032	0.033	0.282	0.241	1.187	0.016
PLBR_LOCUS272	0.000	0.089	0.000	0.170	0.000	0.000	1.706	5.916	0.996	119.443	121.133	90.592	0.000	0.186	0.000	0.714	8.316	0.090
PLBR_LOCUS273	0.000	0.000	0.000	0.000	0.000	0.000	0.092	0.164	0.000	2.945	3.268	4.526	0.000	0.000	0.000	0.000	0.163	0.000
PLBR_LOCUS274	0.071	0.000	0.000	0.000	0.000	0.000	1.139	2.031	0.645	54.830	62.920	52.121	0.000	0.172	0.000	0.147	1.631	0.000
PLBR_LOCUS275	0.028	0.099	0.064	0.126	0.153	0.026	11.494	20.431	2.880	193.376	222.476	238.266	0.100	0.550	0.130	3.293	21.084	0.498
PLBR_LOCUS276	0.037	0.000	0.000	0.021	0.000	0.017	1.730	2.879	0.557	61.592	77.994	46.206	0.044	0.068	0.128	0.598	2.473	0.065
PLBR_LOCUS277	0.000	0.000	0.055	0.162	0.000	0.000	1.804	1.822	0.632	73.296	99.253	74.595	0.114	0.059	0.055	0.352	3.782	0.000
PLBR_LOCUS278	0.000	0.072	0.000	0.000	0.000	0.029	2.106	0.068	0.000	6.337	10.203	7.759	0.543	0.075	1.731	0.384	0.170	0.000
PLBR_LOCUS279	0.000	0.000	0.000	0.046	0.000	0.000	2.323	2.117	1.302	118.265	201.464	94.320	0.049	0.051	0.000	0.302	4.162	0.098
PLBR_LOCUS280	0.000	0.000	0.000	0.000	0.000	0.000	0.123	0.000	0.000	0.908	0.682	0.428	0.000	0.000	0.284	0.052	0.000	0.000
PLBR_LOCUS281	0.032	0.000	0.036	0.000	0.000	0.000	0.443	0.933	0.000	23.294	23.419	30.775	0.000	0.000	0.000	0.202	0.606	0.038
PLBR_LOCUS282	0.047	0.000	0.052	0.000	0.050	0.000	1.791	1.648	0.425	46.605	49.149	55.886	0.000	0.000	0.053	0.773	3.327	0.273
PLBR_LOCUS283	0.014	0.016	0.000	0.000	0.015	0.000	1.454	3.044	0.442	26.905	26.489	24.209	0.033	0.034	0.000	0.513	1.800	0.000
PLBR_LOCUS284	0.000	0.000	0.000	0.000	0.000	0.000	5.655	10.212	0.762	146.243	256.456	201.137	0.411	0.142	0.268	3.274	11.947	0.137
PLBR_LOCUS285	0.015	0.000	0.000	0.016	0.000	0.000	2.652	4.134	0.455	35.706	39.357	53.097	0.017	0.053	0.150	0.543	2.286	0.239
PLBR_LOCUS286	0.012	0.029	0.000	0.000	0.000	0.000	1.222	2.996	0.417	30.626	30.893	30.622	0.043	0.045	0.042	0.460	1.502	0.029
PLBR_LOCUS287	0.000	0.000	0.043	0.021	0.000	0.000	1.846	2.701	0.696	36.430	35.525	36.174	0.000	0.046	0.066	0.535	1.804	0.112
PLBR_LOCUS288	0.000	0.000	0.016	0.000	0.000	0.000	0.446	1.114	0.056	20.535	17.327	10.861	0.051	0.052	0.148	0.194	0.696	0.017
PLBR_LOCUS289	0.000	0.000	0.033	0.000	0.000	0.027	1.770	3.928	0.493	52.418	56.026	57.293	0.000	0.141	0.233	0.785	2.944	0.068
PLBR_LOCUS290	0.000	0.000	0.000	0.000	0.000	0.000	0.197	0.176	0.000	2.563	3.352	2.053	0.000	0.000	0.000	0.000	0.262	0.000
PLBR_LOCUS291	1.083	1.264	1.170	0.416	0.855	1.163	329.656	503.737	84.007	4785.231	4642.975	4413.252	1.268	5.102	1.190	92.995	353.036	8.340
PLBR_LOCUS292	0.000	0.000	0.000	0.000	0.020	0.017	3.310	5.532	0.628	19.078	17.081	17.464	0.000	0.045	0.021	0.942	2.362	0.043
PLBR_LOCUS293	0.000	0.000	0.000	0.000	0.000	0.000	1.038	1.480	0.000	18.256	23.838	15.593	0.000	0.051	0.144	0.087	1.149	0.000
