Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS3989	0.000	0.000	0.000	0.000	0.000	0.041	1.135	2.986	0.341	43.349	56.129	50.725	0.000	0.000	0.050	0.587	2.968	0.000
PLBR_LOCUS3990	0.035	0.000	0.000	0.000	0.000	0.000	0.649	1.889	0.136	17.874	22.772	22.687	0.000	0.042	0.000	0.615	1.456	0.000
PLBR_LOCUS3991	0.000	0.000	0.000	0.000	0.000	0.000	0.514	1.373	0.540	39.068	52.946	37.489	0.000	0.100	0.000	0.344	1.547	0.097
PLBR_LOCUS3992	0.000	0.033	0.000	0.032	0.000	0.000	1.979	4.631	0.483	58.303	68.792	56.772	0.000	0.069	0.065	0.591	2.974	0.134
PLBR_LOCUS3993	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.417	3.920	0.938	0.000	0.000	0.000	0.094	0.050	0.000
PLBR_LOCUS3994	0.028	0.000	0.000	0.031	0.000	0.000	0.901	1.329	0.401	30.570	32.060	28.138	0.000	0.034	0.000	0.261	1.136	0.033
PLBR_LOCUS3995	0.000	0.000	0.000	0.000	0.010	0.000	0.805	1.254	0.310	9.845	11.198	13.165	0.011	0.000	0.010	0.446	0.583	0.043
PLBR_LOCUS3996	0.000	0.000	0.000	0.000	0.000	0.000	0.184	0.047	0.000	1.597	5.662	8.349	0.000	0.000	0.024	0.044	0.093	0.000
PLBR_LOCUS3997	0.069	0.000	0.000	0.038	0.000	0.000	2.191	4.979	0.858	91.018	92.835	81.867	0.041	0.168	0.198	0.719	6.813	0.162
PLBR_LOCUS3998	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.150	0.133	2.514	1.895	1.634	0.040	0.000	0.310	0.105	0.075	0.000
PLBR_LOCUS3999	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	7.409	7.359	2.462	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.759	0.000	19.873	13.984	24.776	0.000	0.046	0.044	0.040	0.754	0.000
PLBR_LOCUS4001	0.000	0.000	0.000	0.000	0.000	0.000	0.541	0.212	0.068	1.574	3.129	10.038	0.000	0.042	0.199	0.090	0.000	0.000
PLBR_LOCUS4002	0.000	0.000	0.000	0.052	0.000	0.000	0.527	0.782	0.184	37.317	62.042	33.703	0.000	0.115	0.108	0.098	0.467	0.055
PLBR_LOCUS4003	0.000	0.028	0.027	0.000	0.000	0.000	1.957	4.071	0.467	53.007	74.018	72.433	0.028	0.145	0.164	0.273	3.941	0.056
PLBR_LOCUS4004	0.000	0.000	0.000	0.000	0.000	0.000	2.678	0.000	0.000	12.024	13.089	4.055	0.460	0.000	0.449	0.000	0.000	0.000
PLBR_LOCUS4005	0.000	0.000	0.000	0.000	0.000	0.000	0.426	0.000	0.000	0.185	0.169	0.074	0.000	0.104	0.688	0.089	0.000	0.000
PLBR_LOCUS4006	0.000	0.000	0.000	0.049	0.000	0.000	1.923	3.526	1.154	88.242	96.589	75.206	0.052	0.215	0.000	0.459	4.088	0.052
PLBR_LOCUS4007	0.000	0.000	0.000	0.000	0.000	0.000	0.579	0.397	0.187	21.522	23.158	13.252	0.042	0.000	0.123	0.112	0.158	0.126
PLBR_LOCUS4008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.196	0.717	0.236	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4009	0.024	0.000	0.000	0.000	0.000	0.000	0.240	0.027	0.063	8.075	35.889	4.527	0.000	0.000	0.166	0.025	0.000	0.000
PLBR_LOCUS4010	0.000	0.000	0.000	0.000	0.000	0.000	0.137	0.000	0.000	4.390	4.872	9.028	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4011	0.000	0.000	0.000	0.000	0.000	0.000	0.643	1.605	0.135	31.165	41.283	33.258	0.000	0.000	0.000	0.179	1.405	0.000
PLBR_LOCUS4012	0.000	0.000	0.000	0.000	0.000	0.000	1.593	3.196	0.419	97.515	122.841	108.160	0.000	0.097	0.000	0.583	7.059	0.000
PLBR_LOCUS4013	0.113	0.658	0.380	0.376	0.000	0.315	41.257	68.449	11.607	1160.203	1287.010	1026.216	0.925	1.779	0.645	19.299	98.631	2.775
PLBR_LOCUS4014	0.000	0.000	0.000	0.000	0.000	0.000	0.842	0.063	0.000	0.638	0.555	0.329	0.215	0.017	0.178	0.161	0.000	0.000
PLBR_LOCUS4015	0.077	0.045	0.129	0.042	0.000	0.071	31.643	75.493	8.971	104.370	65.379	71.570	0.314	0.186	0.219	38.803	75.951	1.658
PLBR_LOCUS4016	0.000	0.050	0.048	0.000	0.046	0.040	2.524	4.032	0.829	57.958	58.832	65.866	0.000	0.206	0.000	1.099	4.100	0.149
PLBR_LOCUS4017	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.523	0.068	7.400	7.474	7.962	0.031	0.032	0.120	0.109	0.491	0.031
PLBR_LOCUS4018	0.051	0.000	0.000	0.114	0.000	0.000	1.018	1.474	0.668	63.166	111.051	65.154	0.000	0.124	0.000	0.160	4.283	0.060
PLBR_LOCUS4019	0.179	0.000	0.000	0.000	0.000	0.000	2.216	2.272	1.164	124.599	150.921	102.862	0.314	0.217	0.102	0.093	3.239	0.105
PLBR_LOCUS4020	0.045	0.000	0.000	0.000	0.000	0.041	4.916	7.928	1.451	97.782	90.317	98.357	0.104	0.108	0.000	1.571	5.383	0.157
PLBR_LOCUS4021	0.000	0.000	0.000	0.000	0.000	0.000	0.515	0.000	0.000	1.339	0.931	1.634	0.139	0.000	0.407	0.369	0.000	0.000
PLBR_LOCUS4022	0.000	0.000	0.000	0.000	0.000	0.000	1.280	2.169	0.000	0.888	3.847	5.954	0.000	0.000	0.000	0.964	0.908	0.242
PLBR_LOCUS4023	0.000	0.071	0.000	0.067	0.000	0.000	4.574	8.823	1.575	177.235	241.222	159.527	0.071	0.367	0.415	1.191	11.426	0.213
PLBR_LOCUS4024	0.000	0.103	0.050	0.000	0.000	0.000	0.328	1.217	0.172	69.152	93.462	173.345	0.052	0.107	0.050	0.046	1.742	0.052
PLBR_LOCUS4025	0.000	0.000	0.000	0.000	0.000	0.089	3.326	2.753	0.374	164.692	207.666	149.289	0.224	0.232	0.110	0.497	7.052	0.112
