Geneid	KQGRcry	MGGQcry	PL4mw	PL4snow	QTsnow1	QTsnow2	Qycry	QYice	QYmw	TGLcry	TGLmw
g23	1821.13798	59.76817	0	0	0	0	57.610412	1.830629	0	4.037067	0
g24	2577.20721	2.627776	0	0	0	0	0	0	0	0	0
g25	4363.99415	42.431437	2.275989	2.242833	0	0	9.040958	1.212983	16.798942	4.01247	0
g26	1341.70845	26.368165	0	0	0	0	74.91096	0	54.944031	29.090471	0
g27	1034.63239	0	0	0	0	0	0	0	0	0	0
g28	1710.09759	0	0	0	0	0	0	0	0	0	0
g29	1282.85124	0	0	1.70157	0	0	0.762123	0	2.683127	0	0
g30	3689.82163	0	0	0	0	0	87.501537	1.288501	3.756801	53.988844	8.705063
g31	1548.68768	0	0	0	0	0	1.660539	0	0	0	0
g32	2417.1329	942.554144	0	0	0	0	68.310221	0	2.404928	70.941259	0
g33	1561.08277	2047.27087	0	48.870959	0	0	103.190984	141.593055	247.700406	2439.74269	10.203705
g34	1411.34983	290.212917	17.734322	27.184847	4.089974	0	221.775737	80.600012	341.40125	77.583122	0.354743
