Geneid	B03-12-1	B03-12-2	B03-12-3	B03-16-2	B03-16-3	B03-16
Glyma.02G054200	0.230	0.304	0.217	1.071	0.867	1.342
Glyma.02G055500	1.565	1.627	1.789	0.633	0.667	0.889
Glyma.02G055600	1.209	1.422	1.112	0.598	0.390	0.611
Glyma.02G055900	2.230	2.320	2.387	0.845	0.705	1.069
Glyma.02G057400	9.508	10.012	9.970	3.886	3.949	3.502
Glyma.02G058200	0.574	0.480	0.734	2.917	2.379	2.428
Glyma.02G059500	3.406	3.817	4.572	1.057	1.133	1.007
Glyma.02G060900	0.000	0.000	0.000	1.304	1.416	1.188
Glyma.02G065901	0.000	0.000	0.000	0.854	0.928	1.962
Glyma.02G068900	0.035	0.116	0.000	3.789	3.338	3.361
Glyma.02G069200	4.089	3.634	4.708	0.520	0.226	0.885
Glyma.02G069400	1.267	1.150	1.655	0.443	0.505	0.593
Glyma.02G069500	18.385	18.509	18.488	3.203	5.233	9.157
Glyma.02G069700	0.018	0.048	0.020	1.447	1.327	1.587
Glyma.02G069900	2.068	2.259	2.171	7.886	7.990	8.839
Glyma.02G070900	1.129	1.277	0.980	0.358	0.448	0.541
Glyma.02G071500	0.124	0.041	0.137	3.469	3.601	3.040
Glyma.02G071700	0.070	0.053	0.022	1.228	1.105	1.253
Glyma.02G071800	1.039	1.100	1.147	8.510	9.539	10.577
Glyma.02G072200	14.856	13.849	14.801	4.285	4.323	5.656
Glyma.02G072400	0.766	1.077	1.215	5.541	6.852	6.963
Glyma.02G073600	12.036	12.509	13.072	3.388	4.393	3.675
Glyma.02G074600	0.095	0.176	0.188	0.873	0.905	1.207
Glyma.02G076100	0.467	0.631	0.382	1.929	1.544	1.969
Glyma.02G078500	69.044	70.037	64.467	19.884	20.362	22.052
Glyma.02G078600	11.124	10.624	12.031	3.925	3.752	4.293
Glyma.02G079400	15.475	16.852	14.737	5.858	8.271	8.597
Glyma.02G080200	0.504	0.406	0.317	1.909	1.404	1.154
Glyma.02G080700	0.065	0.031	0.071	1.607	0.994	1.471
Glyma.02G080800	0.123	0.000	0.272	9.754	11.936	12.495
Glyma.02G082100	0.370	0.385	0.338	6.252	5.013	4.574
Glyma.02G082500	2.923	2.954	2.573	0.410	0.382	0.120
Glyma.02G082800	12.762	12.086	12.882	2.526	1.803	2.349
Glyma.02G083500	1.784	1.490	1.728	14.833	11.827	6.407
Glyma.02G085800	0.910	1.237	0.963	4.311	4.325	3.381
Glyma.02G086000	20.925	19.890	19.721	7.005	6.862	8.187
Glyma.02G086600	0.686	0.745	0.634	5.980	6.503	6.140
Glyma.02G087300	0.000	0.000	0.256	0.861	0.598	1.757
Glyma.02G087400	13.903	12.557	12.779	2.920	2.616	2.286
Glyma.02G088900	167.220	160.299	162.753	71.933	66.126	76.946
Glyma.02G089100	8.578	9.634	8.489	2.577	2.834	3.272
Glyma.02G089500	2.458	2.229	3.123	0.100	0.087	0.000
Glyma.02G092000	0.621	0.357	0.417	1.924	2.543	2.742
Glyma.02G092700	0.602	0.537	0.752	2.818	3.226	2.699
Glyma.02G092900	0.385	0.556	0.270	1.974	1.760	2.440
Glyma.02G093100	0.064	0.051	0.014	3.939	3.440	4.099
Glyma.02G093200	22.664	22.005	22.325	6.349	6.241	6.019
Glyma.02G094500	1.171	1.434	1.519	0.174	0.340	0.488
Glyma.02G095500	5.190	5.349	5.356	1.482	1.458	1.171
Glyma.02G097000	8.180	8.396	8.984	3.281	4.369	3.480
Glyma.02G097400	0.314	0.338	0.353	8.466	8.540	8.590
Glyma.02G098000	1.295	0.840	1.113	6.339	5.894	4.660
Glyma.02G098700	16.666	16.879	15.128	5.692	5.670	6.905
Glyma.02G099200	2.010	1.711	1.518	0.640	0.741	1.104
Glyma.02G099900	1.287	1.277	1.509	10.007	11.877	7.820
Glyma.02G100000	21.931	22.848	21.510	4.724	5.035	5.569
Glyma.02G101100	37.182	39.293	38.286	13.067	11.461	13.699
Glyma.02G103500	56.413	57.167	57.465	20.758	20.877	22.062
Glyma.02G103700	1.044	1.062	0.973	3.426	3.228	4.682
Glyma.02G104500	6.970	6.517	6.617	1.966	2.036	2.332
Glyma.02G104900	29.414	28.629	28.718	8.084	8.880	9.195
Glyma.02G105400	0.854	1.202	1.203	8.521	8.623	6.938
Glyma.02G106300	0.034	0.056	0.019	2.819	2.753	2.534
Glyma.02G106600	0.167	0.140	0.150	2.765	2.813	3.466
Glyma.02G106800	0.597	0.548	0.787	2.703	2.448	2.833
Glyma.02G108600	3.306	3.289	3.131	0.446	0.439	0.501
Glyma.02G109100	2.260	2.707	2.477	31.340	30.425	23.022
Glyma.02G109200	0.737	0.511	0.777	2.476	2.181	2.528
Glyma.02G109800	2.986	2.726	2.444	1.223	1.063	0.936
Glyma.02G111800	1.916	1.846	1.894	7.533	6.846	7.752
Glyma.02G112000	1.720	1.779	1.680	5.399	5.686	7.070
Glyma.02G112100	1.435	1.345	1.611	6.497	6.602	6.361
Glyma.02G112900	0.824	1.319	1.016	7.767	9.667	10.428
Glyma.02G115200	5.812	5.511	5.523	1.900	2.353	2.185
Glyma.02G115600	0.497	0.462	0.393	1.828	1.656	2.215
Glyma.02G116200	0.702	1.152	0.792	3.489	3.367	3.678
Glyma.02G116300	16.382	16.391	16.977	3.402	3.424	4.218
Glyma.02G116400	2.870	2.287	2.460	0.848	1.124	1.017
Glyma.02G118500	1.230	1.247	1.091	0.222	0.252	0.314
Glyma.02G119300	2.944	3.037	2.596	10.756	11.813	11.358
Glyma.02G119600	10.185	9.050	9.366	2.346	2.111	2.138
Glyma.02G120300	0.325	0.323	0.205	5.878	5.273	5.825
Glyma.02G121300	5.330	5.616	6.450	1.226	1.200	1.330
Glyma.02G121400	5.397	5.738	5.135	0.356	0.261	0.211
Glyma.02G121500	1.195	1.186	1.164	0.052	0.091	0.240
Glyma.02G122700	4.444	4.505	4.241	1.885	1.786	2.351
Glyma.02G123000	1.235	1.517	1.502	0.542	0.455	0.458
Glyma.02G124700	0.883	1.033	1.102	0.285	0.198	0.271
Glyma.02G126300	1.889	2.018	2.181	20.858	21.489	23.896
Glyma.02G126500	7.536	6.317	8.104	2.362	2.808	3.173
Glyma.02G126800	2.493	1.500	1.905	0.569	0.607	0.713
Glyma.02G127800	3.660	4.150	3.720	0.902	0.935	1.099
Glyma.02G128000	43.161	43.031	41.056	13.511	14.290	17.482
Glyma.02G128100	91.096	87.996	88.230	26.991	27.242	39.961
Glyma.02G128700	0.147	0.123	0.137	1.806	1.130	1.198
Glyma.02G129200	7.406	7.340	7.479	2.214	2.875	3.404
Glyma.02G129300	4.848	4.658	4.643	1.984	1.426	1.177
Glyma.02G130400	2.815	3.324	2.596	0.784	1.176	0.873
Glyma.02G130500	17.174	18.034	15.082	3.140	3.053	5.760
Glyma.02G131600	0.025	0.033	0.055	2.262	2.413	2.216
Glyma.02G131700	8.975	8.732	8.965	3.774	3.250	3.303
Glyma.02G132200	2.489	2.284	2.027	0.878	0.747	1.121
Glyma.02G133000	1.283	0.750	1.285	4.828	5.043	4.477
Glyma.02G133700	0.000	0.053	0.044	1.278	2.015	1.821
Glyma.02G133800	50.752	48.750	50.863	20.928	22.604	19.870
Glyma.02G134000	2.156	1.919	1.762	0.524	0.676	0.646
Glyma.02G134200	4.305	4.425	4.285	1.864	1.199	1.532
Glyma.02G134500	1.394	1.223	1.360	0.241	0.376	0.540
Glyma.02G135700	0.005	0.014	0.018	0.681	0.616	1.017
Glyma.02G136100	1.789	1.594	1.785	0.536	0.843	0.469
Glyma.02G136200	9.086	8.650	9.527	3.179	3.961	4.057
Glyma.02G136700	0.647	0.955	1.062	14.827	16.559	18.277
Glyma.02G138600	1.761	1.967	1.640	42.317	49.584	46.539
Glyma.02G141600	0.740	0.936	0.737	5.975	5.738	6.631
Glyma.02G142300	0.168	0.134	0.297	1.382	1.678	1.411
Glyma.02G143200	0.147	0.272	0.194	31.724	32.294	26.569
Glyma.02G143300	37.825	36.431	35.909	2.252	2.000	2.830
Glyma.02G143400	0.570	0.355	0.334	1.896	2.038	1.504
Glyma.02G143500	0.539	0.713	0.324	2.653	2.368	2.968
Glyma.02G143700	60.106	60.193	59.686	28.553	31.928	25.507
Glyma.02G145100	40.666	42.137	41.144	6.865	7.007	6.620
Glyma.02G145400	1.049	0.992	1.076	3.560	4.737	4.543
Glyma.02G145700	0.162	0.230	0.128	0.911	1.060	1.053
Glyma.02G146300	1.374	1.225	0.960	0.541	0.289	0.595
Glyma.02G146700	0.410	0.221	0.343	1.666	1.849	2.034
Glyma.02G147100	0.064	0.106	0.071	2.531	2.801	2.072
Glyma.02G147200	0.977	1.009	0.901	6.422	6.134	7.809
Glyma.02G148300	0.000	0.020	0.016	0.899	1.143	1.074
Glyma.02G149700	37.396	37.057	37.470	10.152	11.428	12.471
Glyma.02G149800	17.128	17.139	16.682	5.557	6.386	6.449
Glyma.02G151800	0.103	0.168	0.097	1.215	1.159	1.084
Glyma.02G152000	0.164	0.180	0.191	0.985	0.856	1.129
Glyma.02G152500	0.280	0.111	0.340	2.035	2.093	1.654
Glyma.02G153000	19.261	19.735	20.312	4.216	4.778	6.550
Glyma.02G153200	3.644	2.388	4.103	1.071	1.675	1.914
Glyma.02G153500	2.675	2.685	2.943	0.660	0.673	0.790
Glyma.02G154500	14.899	16.140	14.140	5.248	4.002	6.342
Glyma.02G155500	2.238	2.963	2.762	0.586	0.679	0.998
Glyma.02G157700	0.031	0.041	0.034	1.279	1.309	1.816
Glyma.02G157800	5.448	6.103	5.985	2.072	1.220	1.883
Glyma.02G157900	1.329	1.239	1.364	0.306	0.193	0.397
Glyma.02G159800	0.432	0.762	1.112	0.000	0.186	0.000
Glyma.02G160500	122.659	125.023	118.125	31.296	30.547	36.214
Glyma.02G160550	12.769	10.874	11.239	2.519	3.456	5.278
Glyma.02G160600	0.630	1.390	0.464	0.156	0.135	0.000
Glyma.02G164100	0.236	0.247	0.233	0.942	0.995	1.357
Glyma.02G164148	8.973	7.745	8.360	59.303	69.957	66.842
Glyma.02G164400	29.891	31.722	30.214	4.658	4.812	5.183
Glyma.02G168000	35.505	32.192	34.076	12.035	12.204	18.149
Glyma.02G169000	0.046	0.101	0.118	1.024	1.068	0.627
Glyma.02G170500	3.602	3.485	3.322	1.564	1.296	1.890
Glyma.02G171100	3.159	2.946	2.824	1.671	1.271	1.221
Glyma.02G175500	0.060	0.013	0.033	3.053	2.341	2.368
Glyma.02G178400	0.000	0.065	0.027	1.268	1.259	1.110
Glyma.02G180200	11.850	14.117	14.101	2.736	3.737	1.397
Glyma.02G180500	0.000	0.000	0.129	1.157	1.307	1.063
Glyma.02G182800	33.685	34.763	33.559	9.647	11.239	9.917
Glyma.02G184300	0.140	0.128	0.107	0.760	0.997	1.157
Glyma.02G184700	1.011	0.799	0.638	13.079	15.057	12.855
Glyma.02G186800	0.106	0.026	0.085	3.584	4.398	3.513
Glyma.02G187300	2.612	1.529	2.218	0.112	0.680	0.228
Glyma.02G188300	32.958	33.170	33.836	12.182	12.012	13.345
Glyma.02G192300	4.019	3.985	4.147	1.562	1.593	2.005
Glyma.02G193700	13.446	13.155	13.785	6.040	6.436	6.008
Glyma.02G195000	2.747	2.623	2.631	0.433	0.612	0.626
Glyma.02G197800	1.022	0.615	0.693	4.484	3.327	2.571
Glyma.02G198200	1.415	1.347	1.411	5.895	4.930	4.871
Glyma.02G199300	0.057	0.050	0.063	0.874	1.642	1.267
Glyma.02G200500	0.216	0.245	0.187	1.852	1.967	1.284
Glyma.02G200600	2.386	2.600	2.644	1.098	1.221	1.223
Glyma.02G200700	5.576	5.900	6.121	1.679	1.773	2.219
Glyma.02G201600	1.024	1.445	1.057	4.711	4.548	5.293
Glyma.02G202500	136.243	145.338	141.083	14.750	14.232	12.662
Glyma.02G202900	40.713	37.454	39.000	6.367	5.809	4.254
Glyma.02G203300	58.063	55.434	55.992	8.009	9.201	8.560
Glyma.02G203600	0.047	0.097	0.074	1.769	1.589	1.927
Glyma.02G203900	0.591	0.557	0.562	2.118	2.042	2.635
Glyma.02G204700	5.955	5.332	5.633	1.716	1.416	1.557
Glyma.02G207251	2.877	3.047	2.859	0.320	0.371	0.545
Glyma.02G207900	0.643	0.539	0.544	3.119	3.761	3.964
Glyma.02G208200	0.377	0.184	0.329	3.569	3.152	3.312
Glyma.02G209000	1.277	1.691	1.323	15.262	17.350	18.091
Glyma.02G209100	0.233	0.309	0.183	2.123	1.568	2.536
Glyma.02G209800	0.733	0.582	1.456	0.326	0.000	0.111
Glyma.02G210800	4.099	4.146	4.190	0.585	0.716	0.678
Glyma.02G211600	8.267	8.679	7.711	2.222	2.666	2.646
Glyma.02G211800	5.771	5.187	5.603	2.397	2.272	2.975
Glyma.02G211900	0.125	0.044	0.092	3.063	2.608	1.823
Glyma.02G212100	7.931	8.380	7.809	1.515	1.137	1.652
Glyma.02G212500	21.833	23.119	21.134	7.613	8.023	7.811
Glyma.02G213700	3.640	3.357	3.485	1.101	1.046	1.909
Glyma.02G214400	11.061	10.556	11.870	1.150	1.218	1.666
Glyma.02G215000	0.030	0.039	0.088	1.358	1.218	1.944
Glyma.02G215700	222.003	205.740	219.553	33.842	36.948	27.113
Glyma.02G217000	1.630	1.726	1.979	1.210	0.350	0.247
Glyma.02G217500	0.024	0.078	0.052	1.072	1.618	0.915
Glyma.02G218100	1.342	1.221	1.310	5.016	5.750	6.320
Glyma.02G218200	0.877	1.073	1.169	0.226	0.258	0.217
Glyma.02G218400	0.825	0.865	1.122	0.015	0.000	0.000
Glyma.02G218600	1.317	1.188	1.312	0.685	0.562	0.622
Glyma.02G220500	6.036	6.438	6.303	1.790	1.520	1.931
Glyma.02G221600	1.443	1.552	1.084	0.640	0.685	0.471
Glyma.02G222200	4.627	5.064	4.578	1.412	1.460	1.867
Glyma.02G222600	0.016	0.041	0.034	1.112	0.604	0.426
Glyma.02G222800	0.129	0.686	2.001	0.000	0.334	0.000
Glyma.02G223300	7.620	8.394	8.472	41.626	39.743	38.076
Glyma.02G223700	1.059	0.665	0.837	8.971	8.808	9.947
Glyma.02G224100	1.187	1.265	1.456	41.545	46.944	42.066
Glyma.02G226200	4.027	4.390	4.396	1.239	1.164	1.214
Glyma.02G226300	3.096	3.193	3.361	1.645	1.149	1.710
Glyma.02G226500	2.054	1.942	2.380	8.029	8.079	8.854
Glyma.02G226600	2.268	2.057	1.885	1.080	0.993	0.785
Glyma.02G228100	93.434	93.798	96.097	4.279	3.942	3.998
Glyma.02G228400	0.162	0.182	0.116	1.958	1.978	2.208
Glyma.02G229300	0.373	0.521	0.274	1.968	1.871	2.009
Glyma.02G230500	0.328	0.594	0.591	4.792	5.411	4.526
Glyma.02G230800	0.044	0.290	0.048	14.261	15.187	14.958
Glyma.02G231000	0.191	0.189	0.171	1.008	1.076	1.029
Glyma.02G231100	9.666	10.030	9.873	2.371	2.061	3.083
Glyma.02G233300	0.058	0.089	0.095	13.095	12.481	14.082
Glyma.02G233500	0.388	0.225	0.292	1.446	1.550	1.448
Glyma.02G235100	12.063	12.008	11.749	2.439	1.661	1.988
Glyma.02G235700	7.867	8.248	7.883	0.472	0.498	0.413
Glyma.02G236900	43.140	39.551	41.540	17.190	19.084	21.868
Glyma.02G237000	0.141	0.222	0.195	3.748	4.111	4.268
Glyma.02G237100	5.377	5.274	5.054	2.689	2.220	2.071
Glyma.02G238600	4.069	4.137	3.682	0.965	0.514	1.303
Glyma.02G240900	0.277	0.294	0.184	2.444	2.959	1.934
Glyma.02G241000	1.725	1.822	1.582	0.112	0.097	0.157
Glyma.02G241200	8.285	9.420	9.210	45.261	41.969	44.420
Glyma.02G243600	7.768	7.432	7.020	3.920	2.910	2.817
Glyma.02G243700	0.320	0.261	0.095	0.694	0.842	1.008
Glyma.02G243800	0.743	0.768	0.424	2.922	2.792	3.702
Glyma.02G244300	7.103	8.232	7.698	1.506	1.013	1.736
Glyma.02G244600	5.434	6.824	6.019	1.810	1.303	1.505
Glyma.02G244700	0.112	0.054	0.078	1.657	1.531	1.384
Glyma.02G245000	0.910	0.959	0.986	17.161	15.195	17.775
Glyma.02G245100	1.573	1.334	2.063	23.028	20.264	20.604
Glyma.02G245300	17.088	16.943	17.761	8.221	7.408	8.687
Glyma.02G245600	5.715	5.422	4.312	0.094	0.205	0.289
Glyma.02G247000	0.382	0.397	0.346	1.630	1.742	1.964
Glyma.02G248500	0.197	0.366	0.479	1.260	1.858	1.047
Glyma.02G249600	457.084	455.886	464.033	87.238	86.344	80.978
Glyma.02G250300	0.258	0.189	0.295	1.501	1.108	1.084
Glyma.02G250700	14.942	14.696	14.310	0.155	0.122	0.072
Glyma.02G251400	0.832	1.060	1.114	4.817	4.561	5.012
Glyma.02G252200	0.070	0.058	0.067	2.951	3.363	3.687
Glyma.02G252500	3.815	4.143	2.781	0.545	0.946	0.852
Glyma.02G252600	0.000	0.014	0.000	0.913	0.912	1.134
Glyma.02G252700	0.857	1.013	1.022	7.191	7.192	6.389
Glyma.02G253000	0.000	0.000	0.000	0.711	1.030	1.210
Glyma.02G253150	0.000	0.000	0.000	0.183	0.000	1.495
Glyma.02G254200	2.490	1.988	2.327	0.861	0.799	1.318
Glyma.02G254900	0.196	0.260	0.195	0.874	1.165	0.744
Glyma.02G255200	0.136	0.261	0.249	4.495	4.851	5.144
Glyma.02G255800	0.163	0.166	0.180	0.949	1.002	0.779
Glyma.02G256000	6.965	7.183	7.098	35.871	38.156	42.949
Glyma.02G257700	11.062	11.397	11.438	2.929	3.432	3.240
Glyma.02G258100	0.396	0.510	0.434	1.474	1.461	1.722
Glyma.02G259800	0.055	0.000	0.000	7.661	9.738	13.812
Glyma.02G260800	4.570	4.668	4.494	17.604	21.590	23.072
Glyma.02G263600	1.663	1.593	2.344	6.883	7.601	5.525
Glyma.02G263900	7.897	7.822	7.631	2.618	2.668	2.958
Glyma.02G264050	0.000	0.000	0.000	1.647	1.718	0.336
Glyma.02G264500	1.073	0.692	1.033	0.245	0.177	0.209
Glyma.02G266000	0.098	0.087	0.109	3.552	3.911	4.620
Glyma.02G266200	1.497	1.244	1.090	8.277	7.788	8.064
Glyma.02G266600	0.646	0.509	0.887	19.814	18.998	16.840
Glyma.02G266700	0.045	0.080	0.050	2.948	4.677	4.652
Glyma.02G267800	9.411	9.032	8.999	0.689	0.709	1.005
Glyma.02G267900	3.904	3.856	3.385	1.472	1.417	1.641
Glyma.02G268000	475.196	480.253	472.875	100.117	102.158	88.951
Glyma.02G268300	0.023	0.010	0.033	1.069	0.987	0.841
Glyma.02G269400	0.085	0.129	0.054	6.814	6.833	4.835
Glyma.02G269700	36.406	37.241	37.428	7.398	7.078	8.052
Glyma.02G271300	0.909	0.834	0.835	3.802	4.212	4.737
Glyma.02G271400	33.220	32.066	34.007	13.151	17.449	14.252
Glyma.02G272600	0.000	0.000	0.047	2.229	1.773	2.500
Glyma.02G274100	1.381	1.790	1.605	16.683	16.185	16.526
Glyma.02G274200	2.158	1.684	1.781	6.744	7.443	6.300
Glyma.02G274500	0.017	0.069	0.070	1.207	0.900	1.407
Glyma.02G275000	0.295	0.412	0.271	1.652	2.470	2.381
Glyma.02G275500	1.376	1.594	1.348	4.392	6.124	5.005
Glyma.02G275900	23.971	24.000	23.299	7.436	8.039	10.990
Glyma.02G276100	3.291	3.205	2.548	0.955	0.634	0.573
Glyma.02G277600	0.012	0.049	0.027	3.048	3.371	3.262
Glyma.02G277900	1.736	1.961	2.000	0.489	0.541	0.862
Glyma.02G278300	7.615	7.543	6.986	2.065	2.012	1.921
Glyma.02G279000	0.667	0.692	0.637	7.091	6.836	6.993
Glyma.02G279700	0.372	0.547	0.776	1.718	2.559	4.196
Glyma.02G281100	0.097	0.094	0.086	1.108	1.122	1.298
Glyma.02G282100	6.246	6.017	6.192	1.217	1.215	1.841
Glyma.02G282300	182.936	187.710	188.692	4.522	4.912	5.310
Glyma.02G283300	5.908	5.839	4.999	2.095	1.690	2.080
Glyma.02G283400	33.087	31.566	33.228	2.373	2.251	1.645
Glyma.02G283500	0.524	0.658	0.578	29.990	31.553	31.270
Glyma.02G283700	0.458	0.448	0.307	1.167	1.501	1.975
Glyma.02G283900	0.166	0.165	0.138	0.864	0.885	1.229
Glyma.02G284500	0.566	0.583	0.764	3.665	3.530	4.838
Glyma.02G285100	14.590	15.677	14.121	0.612	0.866	0.925
Glyma.02G285366	1.002	1.161	0.415	0.000	0.162	0.000
Glyma.02G286000	0.023	0.060	0.025	2.843	2.861	2.788
Glyma.02G286200	0.148	0.098	0.327	5.327	3.054	3.925
Glyma.02G286600	0.243	0.464	0.313	3.142	3.478	4.004
Glyma.02G286900	0.000	0.000	0.000	2.684	1.639	2.147
Glyma.02G287500	1.743	1.896	1.611	0.562	0.540	0.696
Glyma.02G288700	0.446	0.326	0.648	30.799	31.531	30.555
Glyma.02G290000	0.972	1.181	1.103	0.435	0.395	0.484
Glyma.02G290700	0.256	0.201	0.371	1.709	1.475	1.708
Glyma.02G290800	70.850	66.729	67.514	35.759	34.185	29.654
Glyma.02G290900	1.818	1.291	1.186	0.294	0.128	0.225
Glyma.02G291500	22.495	23.894	20.314	6.150	6.001	4.139
Glyma.02G292100	0.682	1.015	1.035	0.063	0.000	0.000
Glyma.02G292202	0.476	0.408	0.483	2.271	2.205	2.883
Glyma.02G292400	0.079	0.104	0.116	7.852	7.060	7.779
Glyma.02G292700	1.512	0.900	1.085	0.337	0.358	0.153
Glyma.02G292800	266.720	266.344	264.818	29.442	29.399	31.451
Glyma.02G294100	5.134	4.968	4.253	1.510	1.120	1.717
Glyma.02G295000	0.330	0.130	0.203	0.890	1.168	0.798
Glyma.02G295100	1.212	0.810	1.054	13.619	13.343	14.977
Glyma.02G296000	0.547	0.475	0.688	2.269	2.726	2.574
Glyma.02G296200	0.308	0.331	0.241	0.923	1.109	1.225
Glyma.02G296800	0.057	0.053	0.051	2.167	2.216	2.586
Glyma.02G298500	1.933	2.060	2.229	0.466	0.284	0.428
Glyma.02G299100	1.155	1.297	1.453	38.200	37.645	29.405
Glyma.02G301200	25.601	25.812	26.425	2.599	2.962	2.470
Glyma.02G302700	0.325	0.430	0.273	1.273	1.307	1.457
Glyma.02G302800	0.075	0.031	0.045	1.079	0.938	1.242
Glyma.02G303000	35.581	35.886	38.631	12.343	13.019	11.277
Glyma.02G303300	2.107	2.238	1.950	12.043	12.163	13.280
Glyma.02G303500	16.438	17.152	15.077	7.296	7.402	8.732
Glyma.02G306800	0.033	0.000	0.000	0.993	1.403	0.811
Glyma.02G307100	1.203	1.443	0.996	4.855	5.237	4.102
Glyma.02G307700	2.065	2.091	2.121	30.705	32.101	25.144
Glyma.02G308100	3.358	3.043	2.464	12.714	14.101	12.332
Glyma.02G308300	0.124	0.000	0.275	4.432	4.226	2.577
Glyma.02G309100	0.029	0.051	0.128	1.237	1.262	1.615
Glyma.02G309800	14.735	13.805	15.890	4.163	2.990	3.166
Glyma.02G309900	12.528	11.834	12.256	5.105	4.997	4.995
Glyma.03G000800	0.425	0.410	0.384	1.493	1.522	1.641
Glyma.03G001000	0.304	0.280	0.321	1.610	1.791	2.345
Glyma.03G001700	0.012	0.000	0.000	1.640	1.380	1.247
Glyma.03G002900	0.933	1.265	1.179	4.909	4.690	4.390
Glyma.03G005400	0.713	0.641	0.591	3.800	4.107	3.494
Glyma.03G005600	67.040	69.027	66.894	32.276	35.207	29.418
Glyma.03G005650	2.624	1.251	1.623	0.312	0.542	0.318
Glyma.03G005700	1.425	1.415	1.601	0.219	0.364	0.372
Glyma.03G006700	0.645	0.607	0.507	3.534	3.571	3.999
Glyma.03G007400	8.366	9.683	8.554	2.753	2.924	4.997
Glyma.03G008100	0.007	0.000	0.000	3.415	3.565	3.195
Glyma.03G009100	0.572	0.640	0.549	2.142	2.213	1.774
Glyma.03G011200	0.450	0.330	0.497	5.123	4.784	4.950
Glyma.03G012600	3.435	3.767	3.864	2.031	1.608	1.821
Glyma.03G014250	1.942	2.571	2.144	0.360	0.000	1.472
Glyma.03G017500	4.638	4.615	3.850	0.144	0.042	0.123
Glyma.03G018800	3.982	3.502	3.603	1.046	0.835	0.828
Glyma.03G019000	0.009	0.000	0.000	2.670	2.199	1.977
Glyma.03G019500	4.394	4.639	4.572	1.527	1.721	2.088
Glyma.03G021300	0.135	0.067	0.075	1.180	1.156	1.461
Glyma.03G021700	0.115	0.178	0.127	1.027	0.967	1.398
Glyma.03G025600	3.127	3.110	2.976	0.539	0.423	0.340
Glyma.03G026700	0.897	1.188	1.111	17.168	14.171	11.724
Glyma.03G028000	31.859	29.696	29.633	164.011	177.559	210.555
Glyma.03G029800	0.263	0.323	0.373	1.812	2.544	1.822
Glyma.03G030267	1.874	1.674	1.446	0.201	0.787	0.821
Glyma.03G030333	0.885	1.041	1.230	0.341	0.550	0.447
Glyma.03G030400	42.182	39.929	39.187	0.942	1.040	1.322
Glyma.03G032200	8.003	8.939	8.233	2.837	3.707	3.550
Glyma.03G035300	1.001	1.205	0.928	0.357	0.465	0.318
Glyma.03G035600	0.000	0.000	0.000	0.869	0.944	1.065
Glyma.03G037600	0.000	0.000	0.000	1.063	1.023	1.473
Glyma.03G041300	0.040	0.000	0.000	0.989	1.016	0.612
Glyma.03G044100	0.050	0.067	0.000	1.423	0.195	0.765
Glyma.03G044200	0.762	0.430	0.606	2.346	2.935	3.432
Glyma.03G048600	4.930	3.852	5.868	0.536	0.434	2.187
Glyma.03G050500	0.093	0.049	0.000	1.158	1.174	1.266
Glyma.03G054900	1.001	0.822	0.870	0.436	0.344	0.506
Glyma.03G055900	1.320	1.393	1.504	6.117	6.200	6.502
Glyma.03G056700	50.680	54.624	52.590	26.874	26.326	25.568
Glyma.03G057100	91.760	90.633	88.811	37.812	39.595	29.780
Glyma.03G058300	0.370	0.390	0.388	2.058	2.266	2.576
Glyma.03G060100	13.831	11.650	12.748	4.548	5.071	6.951
Glyma.03G062800	3.042	3.019	3.115	0.160	0.093	0.133
Glyma.03G063000	2.059	1.627	1.789	0.137	0.178	0.314
Glyma.03G065100	0.380	0.593	0.630	2.399	2.260	3.005
Glyma.03G068200	5.521	3.704	3.567	27.156	34.264	29.807
Glyma.03G068100	9.979	9.505	10.085	0.725	0.722	0.596
Glyma.03G067200	3.460	3.391	3.124	0.568	1.060	1.275
Glyma.03G066800	60.799	61.526	60.062	18.598	18.985	20.236
Glyma.03G070100	1.176	1.417	1.434	5.158	6.112	5.745
Glyma.03G070600	0.503	0.695	0.603	2.943	2.961	2.971
Glyma.03G071500	0.032	0.074	0.061	1.322	1.262	1.109
Glyma.03G072100	0.901	1.108	1.100	0.236	0.314	0.289
Glyma.03G073600	0.047	0.072	0.043	1.285	1.559	1.820
Glyma.03G073704	0.276	0.203	0.220	2.446	2.501	3.148
Glyma.03G073752	0.000	0.000	0.000	2.107	2.071	1.947
Glyma.03G073770	0.057	0.015	0.025	1.599	1.301	2.079
Glyma.03G074300	7.568	8.423	7.425	2.783	2.662	4.327
Glyma.03G074600	7.291	7.442	7.327	1.416	1.179	1.174
Glyma.03G074800	2.842	3.199	2.727	12.005	12.025	13.364
Glyma.03G077100	1.945	2.575	1.757	0.525	0.776	0.804
Glyma.03G077200	0.031	0.152	0.046	1.319	1.213	0.935
Glyma.03G078000	4.115	3.708	3.786	0.776	0.570	0.687
Glyma.03G078200	27.469	24.931	27.247	8.371	8.343	6.793
Glyma.03G078600	20.019	20.433	20.473	5.377	5.353	4.054
Glyma.03G081700	6.614	6.683	5.690	1.022	1.319	1.455
Glyma.03G082000	6.681	7.938	6.898	3.351	3.236	2.869
Glyma.03G082100	36.376	40.539	38.850	12.405	15.180	11.735
Glyma.03G083200	15.161	14.702	15.374	5.829	5.722	6.723
Glyma.03G085000	1.619	1.530	1.559	0.054	0.078	0.018
