Geneid	B03-12-1	B03-12-2	B03-12-3	B03-16-2	B03-16-3	B03-16
Glyma.01G054900	0.218	0.367	0.399	1.447	1.105	1.057
Glyma.01G056100	1.192	1.405	1.190	0.315	0.442	0.495
Glyma.01G057100	5.600	6.127	6.569	22.411	23.246	22.324
Glyma.01G058300	15.479	16.144	15.700	6.432	6.279	5.265
Glyma.01G058500	21.369	21.983	21.339	4.368	5.668	5.647
Glyma.01G060300	1.061	1.001	1.009	0.067	0.102	0.103
Glyma.01G061000	2.387	2.602	2.037	7.801	8.926	7.812
Glyma.01G061100	7.539	7.245	7.638	3.166	2.460	2.309
Glyma.01G062000	15.571	16.126	15.838	5.586	4.640	5.073
Glyma.01G062100	0.995	0.720	0.753	7.864	7.505	8.414
Glyma.01G062400	0.447	0.491	0.561	22.898	22.210	20.701
Glyma.01G063700	2.201	2.259	2.100	0.415	0.457	0.693
Glyma.01G063800	1.255	1.250	1.221	0.351	0.289	0.245
Glyma.01G067100	3.317	3.537	3.653	1.511	1.653	1.582
Glyma.01G067600	0.932	0.680	0.871	3.140	3.191	2.808
Glyma.01G069000	0.287	0.104	0.317	0.851	1.782	1.778
Glyma.01G069500	4.399	4.599	4.486	18.206	18.715	22.214
Glyma.01G070150	1.729	1.717	1.432	0.554	1.039	0.536
Glyma.01G071300	90.417	89.756	87.978	18.627	20.387	23.646
Glyma.01G071400	400.069	397.598	388.979	76.241	89.261	90.265
Glyma.01G071600	0.152	0.403	0.336	4.070	5.109	6.002
Glyma.01G071700	1.252	1.303	1.317	0.243	0.308	0.294
Glyma.01G076900	17.041	15.830	17.108	4.101	3.476	2.877
Glyma.01G077000	2.681	2.331	3.003	0.145	0.050	0.119
Glyma.01G078150	3.680	2.345	2.408	0.607	1.055	0.207
Glyma.01G078200	22.891	21.412	23.203	4.563	5.400	4.857
Glyma.01G078800	4.021	4.019	3.503	19.654	24.453	21.931
Glyma.01G079100	51.275	52.372	51.108	8.419	8.966	10.591
Glyma.01G080500	7.321	7.598	7.799	2.653	2.284	1.902
Glyma.01G080900	1.414	1.419	1.057	5.010	5.471	5.703
Glyma.01G081300	2.183	2.172	2.051	96.930	93.374	95.394
Glyma.01G083000	25.344	26.035	24.116	12.429	12.738	12.262
Glyma.01G083100	0.052	0.069	0.019	0.857	1.061	1.379
Glyma.01G083700	2.815	3.002	2.800	0.796	0.677	0.694
Glyma.01G084600	0.660	0.987	0.864	4.681	5.029	3.982
Glyma.01G084800	1.331	1.028	1.524	0.348	0.254	0.299
Glyma.01G087800	0.525	0.508	0.707	4.522	3.582	1.940
Glyma.01G087900	21.008	20.926	19.471	3.110	3.006	3.108
Glyma.01G089300	43.625	44.818	45.250	20.862	20.610	24.783
Glyma.01G090900	0.254	0.067	0.336	1.583	1.572	1.539
Glyma.01G093800	2.826	3.877	2.834	0.115	0.301	0.079
Glyma.01G095500	0.000	0.000	0.000	8.132	8.324	10.097
Glyma.01G095232	39.241	38.283	38.866	284.925	275.920	261.668
Glyma.01G099000	0.213	0.141	0.352	1.501	2.196	1.935
Glyma.01G099500	4.601	3.164	2.837	0.798	1.233	1.630
Glyma.01G102300	11.574	12.471	10.678	3.427	4.950	5.580
Glyma.01G104100	0.330	0.226	0.341	5.932	5.595	5.992
Glyma.01G104200	1.447	1.652	1.442	0.540	0.619	0.551
Glyma.01G105000	10.716	10.774	10.166	3.483	3.225	3.672
Glyma.01G105200	3.568	4.293	3.683	0.206	0.239	0.140
Glyma.01G106200	2.460	2.795	2.469	7.450	8.621	10.883
Glyma.01G107850	0.121	0.080	0.067	0.696	0.800	1.628
Glyma.01G107901	0.122	0.243	0.540	3.995	3.709	3.616
Glyma.01G107951	0.085	0.084	0.210	1.443	0.845	1.729
Glyma.01G109500	23.875	25.537	23.242	4.081	4.632	3.866
Glyma.01G109600	1.202	1.945	1.364	0.694	0.560	0.354
Glyma.01G114000	0.935	0.941	0.935	5.928	5.804	4.812
Glyma.01G114800	9.390	9.727	9.428	34.344	36.602	37.126
Glyma.01G115000	6.567	6.832	5.687	0.298	0.376	0.654
Glyma.01G116300	4.466	4.245	3.541	1.820	2.231	1.552
Glyma.01G119300	0.325	0.354	0.190	3.346	3.696	3.127
Glyma.01G119500	2.173	2.427	2.226	7.322	7.718	9.068
Glyma.01G121700	4.368	4.314	4.840	17.274	18.984	22.922
Glyma.01G124500	2.703	2.645	3.022	16.426	18.172	16.515
Glyma.01G125800	0.044	0.039	0.032	1.381	1.663	1.799
Glyma.01G127100	1.630	1.592	1.151	0.198	0.345	0.081
Glyma.01G127200	8.289	6.871	9.064	1.140	1.469	0.682
Glyma.01G127500	0.423	0.275	0.345	1.844	1.493	2.148
Glyma.01G129700	0.427	0.754	0.409	16.072	18.413	19.863
Glyma.01G130400	0.098	0.065	0.271	2.117	2.220	1.863
Glyma.01G131500	4.828	5.219	5.016	2.248	2.030	2.385
Glyma.01G132000	25.987	26.011	25.763	4.025	3.799	4.209
Glyma.01G132100	19.019	19.552	19.604	2.840	3.011	2.900
Glyma.01G132300	3.173	4.337	3.732	1.827	1.645	1.977
Glyma.01G132600	0.000	0.000	0.033	4.125	4.856	3.532
Glyma.01G133000	0.458	0.472	0.443	1.747	1.888	1.938
Glyma.01G133050	2.633	2.875	2.706	0.799	0.707	1.136
Glyma.01G133300	0.006	0.073	0.018	1.153	1.017	1.512
Glyma.01G134700	1.485	3.932	2.649	0.678	0.737	0.519
Glyma.01G134800	1.246	0.776	1.618	0.000	0.095	0.333
Glyma.01G136400	0.000	0.000	0.000	0.845	1.049	0.493
Glyma.01G137100	0.766	1.061	0.712	0.284	0.090	0.106
