Geneid	A05-12-1	A05-12-2	A05-12-3	A05-16-2	A05-16-3	A05-16
Glyma.01G127900	0.167	0.173	0.261	0.279	0.232	0.219
Glyma.01G128000	0.035	0.084	0.000	0.000	0.000	0.000
Glyma.01G128100	0.024	0.029	0.032	4.425	4.173	4.185
Glyma.01G128200	1.367	1.200	1.147	3.320	2.995	3.528
Glyma.01G128300	0.131	0.174	0.174	0.181	0.089	0.100
Glyma.01G128500	11.474	9.521	11.194	16.642	17.130	12.966
Glyma.01G128700	4.541	4.400	3.872	5.883	6.005	6.832
Glyma.01G128750	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G129000	0.000	0.000	0.000	0.000	0.000	0.068
Glyma.01G129100	0.336	0.190	0.137	2.045	1.702	1.491
Glyma.01G129200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G129400	19.300	19.280	18.828	1.763	1.936	1.311
Glyma.01G129600	0.013	0.015	0.011	0.016	0.000	0.000
Glyma.01G129700	1.071	1.347	0.858	2.648	1.754	2.380
Glyma.01G130000	6.764	6.415	7.681	2.334	2.869	2.241
Glyma.01G130100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G130200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G130300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G130400	0.112	0.342	0.049	0.000	0.000	0.000
Glyma.01G130500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G130700	0.000	0.186	0.000	0.000	0.000	0.000
Glyma.01G130800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G130900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G130950	0.033	0.081	0.000	0.085	0.090	0.087
Glyma.01G131100	0.000	0.017	0.012	0.000	0.012	0.000
Glyma.01G131200	5.408	5.735	5.229	0.615	0.567	0.467
Glyma.01G131300	2.493	2.429	2.528	0.865	0.710	0.852
Glyma.01G131400	0.025	0.000	0.000	0.065	0.000	0.000
Glyma.01G131500	7.144	7.304	6.455	6.983	6.469	7.628
Glyma.01G131800	0.667	0.636	0.628	0.804	0.766	0.610
Glyma.01G131900	0.263	0.076	0.287	1.343	1.606	1.827
Glyma.01G131950	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G132000	1.340	1.393	1.526	23.199	21.286	24.007
Glyma.01G132100	1.438	0.958	1.460	15.227	12.254	12.617
Glyma.01G132200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G132300	2.076	2.392	2.321	4.822	4.139	5.795
Glyma.01G132400	5.113	5.101	5.001	7.849	6.905	8.442
Glyma.01G132500	953.834	951.773	1042.040	604.071	787.281	635.127
Glyma.01G132600	0.919	0.997	0.990	0.087	0.000	0.000
Glyma.01G132800	1.188	1.112	1.172	2.394	1.884	2.180
Glyma.01G132866	0.141	0.129	0.155	0.224	0.032	0.414
Glyma.01G132932	0.119	0.219	0.263	0.343	0.188	0.391
Glyma.01G133000	1.471	1.372	1.482	5.303	5.047	5.524
Glyma.01G133050	3.633	3.957	3.367	21.729	15.357	23.412
Glyma.01G133100	0.000	0.021	0.000	0.244	0.172	0.114
Glyma.01G133200	0.274	0.585	0.301	0.000	0.000	0.000
Glyma.01G133300	0.609	0.621	0.691	0.176	0.170	0.140
Glyma.01G133400	13.515	14.527	15.768	12.033	11.826	12.619
Glyma.01G133501	1.524	1.150	1.102	5.611	5.524	4.890
Glyma.01G133600	0.072	0.155	0.032	0.830	0.782	0.592
Glyma.01G133700	0.000	0.110	0.000	0.230	0.000	0.118
Glyma.01G133900	0.077	0.024	0.119	0.099	0.122	0.101
Glyma.01G134000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G134100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G134200	0.023	0.076	0.048	0.249	0.169	0.061
Glyma.01G134300	0.043	0.052	0.000	0.027	0.000	0.112
Glyma.01G134400	3.619	3.784	3.466	5.033	4.953	5.209
Glyma.01G134500	1.079	1.318	0.951	3.302	3.986	3.533
Glyma.01G134600	0.362	0.177	0.207	2.628	2.281	2.132
Glyma.01G134700	1.561	0.159	0.917	10.286	6.566	8.692
Glyma.01G134800	0.250	0.306	0.294	2.873	3.309	3.827
Glyma.01G134900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G135100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G135200	0.213	0.098	0.200	0.697	0.769	1.136
Glyma.01G135400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G135500	0.061	0.032	0.085	0.067	0.008	0.000
Glyma.01G135600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G135700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G135800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G135900	3.842	3.855	3.657	7.387	7.351	6.659
Glyma.01G136000	9.179	8.298	9.093	8.808	7.597	8.543
Glyma.01G136100	4.318	4.083	3.815	5.299	4.139	5.391
Glyma.01G136200	1.871	0.623	1.200	1.952	1.840	1.560
Glyma.01G136300	4.105	4.565	3.907	5.571	4.794	5.179
Glyma.01G136400	0.139	0.283	0.041	0.000	0.042	0.000
Glyma.01G136500	1.377	1.582	1.447	3.442	3.099	3.465
Glyma.01G136600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G136800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G136900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G137000	0.048	0.029	0.085	0.123	0.087	0.032
Glyma.01G137100	0.119	0.145	0.087	1.821	1.806	2.339
Glyma.01G137200	0.599	1.219	1.212	0.000	0.060	0.087
Glyma.01G137300	2.466	2.793	2.687	2.916	2.687	2.643
Glyma.01G137400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G137500	0.242	0.418	0.533	1.979	1.616	1.716
Glyma.01G137600	0.116	0.095	0.034	0.000	0.000	0.000
Glyma.01G137700	0.121	0.082	0.106	0.068	0.024	0.105
Glyma.01G137900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G138000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G138100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G138200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G138300	4.475	4.114	4.577	7.596	7.406	7.088
Glyma.01G138400	0.054	0.131	0.142	0.273	0.338	0.351
Glyma.01G138600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G138800	5.120	5.720	4.932	6.116	4.255	6.430
Glyma.01G139000	5.148	4.878	4.304	3.681	3.009	3.761
Glyma.01G139100	0.748	0.914	0.717	1.182	0.938	1.491
Glyma.01G139500	3.378	3.360	3.649	1.382	1.564	1.630
Glyma.01G139600	13.315	13.502	13.648	6.671	7.096	5.993
Glyma.01G139633	3.358	2.467	2.753	4.283	4.233	4.184
Glyma.01G139666	0.108	0.176	0.255	0.368	0.293	0.568
Glyma.01G139700	0.402	0.330	0.286	0.630	0.536	0.718
Glyma.01G139900	0.535	0.416	0.493	0.341	0.329	0.446
Glyma.01G140002	7.124	6.598	5.382	15.574	11.712	14.461
Glyma.01G140102	0.685	0.492	0.319	1.027	1.343	1.108
Glyma.01G140200	1.600	1.581	1.617	2.660	2.868	3.156
Glyma.01G140300	0.073	0.000	0.000	0.125	0.000	0.096
Glyma.01G140600	2.723	2.631	2.381	4.887	3.947	4.436
Glyma.01G140850	0.206	0.126	0.117	1.501	1.472	1.330
Glyma.01G141000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141100	0.024	0.000	0.000	0.030	0.021	0.000
Glyma.01G141200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G141900	0.999	0.631	1.048	0.813	0.652	0.813
Glyma.01G142000	0.000	0.000	0.000	0.041	0.086	0.042
Glyma.01G142100	0.122	0.149	0.054	0.311	0.165	0.080
Glyma.01G142300	1.991	2.147	2.190	3.243	3.293	3.207
Glyma.01G142400	17.994	19.406	18.568	88.248	89.712	89.627
Glyma.01G142600	0.023	0.028	0.000	0.000	0.000	0.000
Glyma.01G142700	2.284	2.342	1.986	3.782	3.041	4.125
Glyma.01G142800	0.574	0.543	0.686	2.314	1.486	2.353
Glyma.01G142851	0.643	1.310	1.087	2.393	1.788	1.686
Glyma.01G142900	3.620	4.056	3.499	3.025	2.633	3.892
Glyma.01G143000	0.000	0.000	0.000	0.191	0.135	0.000
Glyma.01G143100	2.126	2.597	2.063	5.095	5.774	6.486
Glyma.01G143200	0.000	0.000	0.048	0.000	0.000	0.018
Glyma.01G143400	0.000	0.000	0.000	0.000	0.062	0.000
Glyma.01G143500	0.018	0.000	0.000	0.116	0.016	0.048
Glyma.01G143700	1.897	1.532	1.413	1.650	2.039	1.404
Glyma.01G143750	0.000	1.323	1.114	1.381	0.163	1.183
Glyma.01G143800	0.522	0.406	0.376	0.575	0.427	0.528
Glyma.01G143900	0.095	0.116	0.192	0.000	0.000	0.000
Glyma.01G144200	2.999	2.889	2.519	2.016	1.846	2.038
Glyma.01G144300	0.000	0.028	0.041	0.177	0.125	0.091
Glyma.01G144400	0.000	0.000	0.027	0.000	0.000	0.000
Glyma.01G144500	0.419	0.335	0.341	0.154	0.094	0.169
Glyma.01G144700	0.042	0.025	0.018	0.609	0.318	0.299
Glyma.01G144800	4.028	4.123	4.367	5.970	4.293	4.814
Glyma.01G144900	0.037	0.036	0.033	0.254	0.219	0.251
Glyma.01G145000	8.488	8.595	8.567	7.887	6.797	6.036
Glyma.01G145200	3.691	3.923	3.964	10.427	9.043	10.207
Glyma.01G145300	3.028	3.578	3.038	6.122	5.347	5.709
Glyma.01G145400	31.507	32.345	28.835	24.203	18.122	25.595
Glyma.01G145501	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G145600	0.170	0.089	0.192	0.031	0.022	0.032
Glyma.01G145700	0.329	0.483	0.058	0.084	0.178	0.431
Glyma.01G145900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G146000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G146100	3.739	3.818	3.660	5.376	4.798	5.654
Glyma.01G146151	1.862	3.128	2.257	8.906	8.183	8.844
Glyma.01G146200	0.000	0.000	0.000	0.000	0.042	0.000
Glyma.01G146300	0.160	0.369	0.266	0.453	0.304	0.256
Glyma.01G146400	6.953	5.729	6.109	9.259	9.910	9.598
Glyma.01G146500	0.042	0.062	0.030	1.656	1.352	1.900
Glyma.01G146600	4.375	4.373	3.641	6.058	4.761	5.814
Glyma.01G146700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G146800	0.186	0.025	0.183	0.000	0.000	0.000
Glyma.01G146900	0.280	0.293	0.529	1.020	0.649	1.467
Glyma.01G147000	0.724	0.768	0.659	2.042	2.235	1.958
Glyma.01G147300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G147400	1.647	1.439	1.462	2.932	3.041	3.492
Glyma.01G147500	0.977	0.977	0.773	1.374	0.971	1.702
Glyma.01G147550	0.000	0.000	0.000	0.198	0.000	0.000
Glyma.01G147600	2.809	2.966	2.725	0.054	0.013	0.018
Glyma.01G147700	13.053	14.470	14.987	14.470	11.237	13.103
Glyma.01G147800	3.589	3.923	3.683	5.433	4.106	5.388
Glyma.01G147900	0.619	0.590	0.546	1.363	1.988	1.748
Glyma.01G148002	1.752	2.675	1.930	5.473	6.473	5.737
Glyma.01G148100	2.069	1.891	2.160	3.050	3.017	3.651
Glyma.01G148201	1.837	1.709	0.847	1.678	0.941	1.450
Glyma.01G148300	2.637	2.698	2.898	3.996	3.719	4.621
Glyma.01G148401	0.000	0.031	0.000	0.011	0.038	0.033
Glyma.01G148500	12.766	14.273	13.979	24.983	17.944	22.642
Glyma.01G148600	0.990	1.068	1.279	2.840	2.884	3.112
Glyma.01G148700	1.762	1.894	2.019	0.831	1.334	0.669
Glyma.01G148800	6.112	6.237	5.938	16.177	14.175	16.156
Glyma.01G148900	0.230	0.309	0.152	0.059	0.083	0.075
Glyma.01G149000	23.031	21.693	22.993	25.981	23.664	27.017
Glyma.01G149102	49.285	65.602	52.911	56.673	39.864	56.290
Glyma.01G149300	34.270	34.279	33.997	9.714	9.856	9.266
Glyma.01G149400	3.940	4.753	3.903	7.122	6.618	7.188
Glyma.01G149500	0.000	0.000	0.097	0.113	0.060	0.087
Glyma.01G149700	19.325	18.505	19.275	10.596	9.724	9.992
Glyma.01G149800	1.181	0.984	0.939	1.254	1.071	1.181
Glyma.01G149900	4.251	4.595	5.360	6.736	5.945	6.447
Glyma.01G150000	0.434	0.239	0.440	0.083	0.157	0.057
Glyma.01G150100	0.061	0.045	0.119	0.031	0.067	0.032
Glyma.01G150200	12.536	11.984	12.170	17.462	15.932	17.549
Glyma.01G150300	1.327	1.165	1.161	1.366	2.073	1.494
Glyma.01G150400	9.799	10.153	9.478	21.565	22.217	19.382
Glyma.01G150500	2.549	2.842	2.865	4.804	5.709	4.524
Glyma.01G150600	4.112	3.210	4.820	6.920	6.381	7.442
Glyma.01G150700	8.370	8.645	8.711	7.964	6.641	7.691
Glyma.01G150800	1.431	1.567	1.740	2.665	2.758	2.112
Glyma.01G150900	0.167	0.256	0.148	0.107	0.075	0.110
Glyma.01G151000	0.048	0.000	0.021	0.000	0.021	0.000
Glyma.01G151050	0.000	0.039	0.028	0.000	0.000	0.000
Glyma.01G151100	0.000	0.019	0.041	0.020	0.028	0.000
Glyma.01G151200	0.100	0.046	0.155	0.576	0.283	0.460
Glyma.01G151300	0.817	1.339	1.008	1.740	1.882	2.002
Glyma.01G151400	14.110	14.335	14.268	0.462	0.535	0.389
Glyma.01G151466	1.667	2.240	2.449	2.729	2.179	2.840
Glyma.01G151532	2.267	2.020	1.998	2.347	2.043	2.830
Glyma.01G151600	8.828	9.681	9.173	2.465	2.430	2.251
Glyma.01G151700	2.815	2.917	3.143	1.131	1.092	1.397
Glyma.01G151800	0.536	0.486	0.519	1.034	0.793	1.073
Glyma.01G151900	1.072	0.819	1.654	3.077	2.174	3.161
Glyma.01G151951	0.000	0.088	0.032	0.000	0.000	0.000
Glyma.01G152000	0.096	0.215	0.099	0.061	0.029	0.063
Glyma.01G152100	1.868	1.686	1.962	1.533	1.351	1.466
Glyma.01G152200	0.024	0.060	0.022	0.436	0.396	0.832
Glyma.01G152300	0.063	0.026	0.009	0.414	0.462	0.398
Glyma.01G152500	0.116	0.226	0.255	0.325	0.282	0.455
Glyma.01G152600	0.452	0.451	0.470	0.026	0.018	0.054
Glyma.01G152700	4.622	4.249	4.381	5.355	3.807	5.534
Glyma.01G152800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G152900	21.371	21.042	21.323	0.845	1.055	0.914
Glyma.01G153000	0.506	0.309	0.686	0.621	0.913	0.740
Glyma.01G153100	0.911	0.824	0.884	0.907	0.739	1.063
Glyma.01G153200	7.947	7.755	7.620	3.501	3.478	4.229
Glyma.01G153300	2.069	2.514	1.938	5.291	3.973	5.832
Glyma.01G153400	1.845	1.967	2.159	2.781	3.145	2.593
Glyma.01G153500	4.317	4.192	3.899	4.603	11.672	3.384
Glyma.01G153600	1.162	0.999	1.016	1.517	1.424	1.827
Glyma.01G153700	0.066	0.030	0.007	0.116	0.082	0.097
Glyma.01G153801	0.000	0.000	0.000	0.000	0.000	0.073
Glyma.01G153900	0.000	0.000	0.025	0.000	0.000	0.019
Glyma.01G153934	0.819	3.001	2.744	4.387	2.215	3.434
Glyma.01G153967	4.531	6.588	6.466	20.086	18.279	17.242
Glyma.01G154000	0.407	0.314	0.434	0.382	0.328	0.393
Glyma.01G154100	5.528	5.498	5.054	11.861	11.193	11.426
Glyma.01G154200	5.213	6.286	6.523	6.992	6.730	8.284
Glyma.01G154300	4.196	3.923	3.855	8.782	7.916	9.596
Glyma.01G154400	1.327	1.128	1.445	0.339	0.520	0.544
Glyma.01G154450	4.352	5.605	3.211	1.568	3.368	1.921
Glyma.01G154501	7.873	7.239	5.302	3.384	3.508	4.404
Glyma.01G154551	7.395	8.610	6.153	6.786	5.170	6.338
Glyma.01G154600	2.685	3.844	3.065	2.722	1.983	2.969
Glyma.01G154700	2.177	2.299	1.972	3.007	4.060	3.228
Glyma.01G154750	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G154800	0.000	0.114	0.000	0.000	0.000	0.000
Glyma.01G154900	39.233	37.348	38.479	214.141	350.996	199.590
Glyma.01G155000	0.618	0.545	0.439	3.106	3.602	3.169
Glyma.01G155150	0.000	0.000	0.051	0.148	0.052	0.000
Glyma.01G155200	1.816	1.903	1.778	3.201	3.798	3.215
Glyma.01G155300	4.159	4.395	3.861	2.138	1.425	1.837
Glyma.01G155400	0.000	0.000	0.035	0.000	0.000	0.000
Glyma.01G155500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G155600	0.730	0.891	0.587	0.364	0.581	0.305
Glyma.01G155700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G155800	1.972	2.125	2.147	4.230	4.453	3.951
Glyma.01G155900	1.901	2.156	1.971	0.727	0.693	0.735
Glyma.01G156000	2.018	1.888	2.947	4.866	4.420	5.660
Glyma.01G156200	8.637	8.062	8.868	15.681	14.864	16.993
Glyma.01G156400	3.092	3.421	3.041	3.729	3.877	4.271
Glyma.01G156500	0.117	0.143	0.103	0.449	0.282	0.256
Glyma.01G156600	6.652	6.851	6.511	4.666	6.719	4.413
Glyma.01G156700	3.531	3.992	3.367	1.188	1.372	1.152
Glyma.01G156800	0.693	0.412	0.562	0.604	0.608	0.609
Glyma.01G156900	0.000	0.000	0.000	0.000	0.026	0.000
Glyma.01G157000	7.072	6.632	6.537	3.847	3.353	3.886
Glyma.01G157100	2.283	2.214	2.473	1.778	1.633	1.735
Glyma.01G157200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G157300	4.314	4.069	4.174	4.695	4.443	4.650
Glyma.01G157400	4.463	4.436	4.540	17.557	18.292	18.348
Glyma.01G157500	3.854	3.958	3.695	4.962	5.469	4.672
Glyma.01G157600	4.197	3.430	3.859	4.274	3.701	4.351
Glyma.01G157700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G157800	2.420	2.470	2.386	4.084	3.151	4.708
Glyma.01G157900	13.198	13.308	11.832	24.940	20.194	25.151
Glyma.01G158000	0.455	0.541	0.686	0.229	0.173	0.188
Glyma.01G158100	0.355	0.340	0.354	0.266	0.383	0.435
Glyma.01G158150	2.994	3.389	3.414	3.749	4.110	3.851
Glyma.01G158200	3.234	2.508	3.077	3.191	2.359	2.421
Glyma.01G158300	3.824	4.988	4.732	6.386	5.541	6.409
Glyma.01G158400	0.666	0.845	0.792	1.996	1.440	1.915
Glyma.01G158500	5.678	5.273	5.325	9.424	9.371	9.494
Glyma.01G158600	1.623	1.731	1.715	0.622	0.535	0.531
Glyma.01G158651	0.804	0.000	0.709	0.256	0.000	0.000
Glyma.01G158700	0.000	0.000	0.022	0.062	0.022	0.000
Glyma.01G158750	1.160	0.682	1.080	1.535	1.937	1.971
Glyma.01G158800	4.141	3.913	3.677	4.548	5.748	5.148
Glyma.01G158900	0.027	0.000	0.024	0.000	0.000	0.000
Glyma.01G159000	3.829	3.491	3.356	7.332	6.732	7.299
Glyma.01G159100	0.185	0.312	0.349	1.056	1.207	1.350
Glyma.01G159200	0.226	0.126	0.580	0.577	0.537	0.835
Glyma.01G159301	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G159400	2.417	2.165	2.453	2.850	2.595	3.139
Glyma.01G159450	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G159500	13.802	13.212	12.636	12.162	11.639	13.302
Glyma.01G159600	0.326	0.304	0.341	1.445	1.184	1.541
Glyma.01G159700	0.411	0.234	0.350	0.140	0.259	0.054
Glyma.01G159800	12.646	12.612	12.335	10.944	11.480	10.665
Glyma.01G159900	4.964	4.886	4.545	5.787	4.858	6.293
Glyma.01G160000	0.103	0.101	0.082	0.198	0.316	0.216
Glyma.01G160100	14.101	15.256	15.781	12.291	13.470	10.863
Glyma.01G160200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G160300	0.276	0.180	0.138	0.024	0.050	0.133
Glyma.01G160400	0.000	0.000	0.000	0.023	0.000	0.000
Glyma.01G160500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G160600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G160700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G160800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G160900	0.000	0.000	0.022	0.125	0.044	0.000
Glyma.01G161000	0.044	0.090	0.103	0.000	0.000	0.000
Glyma.01G161051	0.000	0.015	0.000	0.000	0.021	0.000
Glyma.01G161100	0.180	0.090	0.115	2.342	2.795	2.138
Glyma.01G161200	4.642	4.410	4.402	9.926	9.677	8.231
Glyma.01G161500	25.839	26.382	28.880	106.329	106.624	100.308
Glyma.01G161300	3.454	2.881	2.154	5.587	4.632	6.071
Glyma.01G161400	0.460	0.329	0.376	0.629	0.698	0.720
Glyma.01G161600	2.572	2.453	2.610	4.165	4.020	4.485
Glyma.01G161700	5.525	5.320	5.841	18.586	18.282	16.140
Glyma.01G161750	5.444	4.156	6.598	15.186	15.179	14.709
Glyma.01G161800	2.748	2.102	2.300	5.239	4.378	4.291
Glyma.01G161900	7.555	7.735	8.115	9.736	10.886	9.690
Glyma.01G162000	9.062	9.547	8.949	17.584	19.238	16.057
Glyma.01G162100	4.521	4.650	4.378	5.087	4.410	4.825
Glyma.01G162151	0.000	0.000	0.000	0.245	0.000	0.252
Glyma.01G162200	5.829	5.661	5.271	7.788	9.942	7.909
Glyma.01G162300	2.184	2.268	3.562	1.671	2.756	4.149
Glyma.01G162400	0.000	0.084	0.000	0.000	0.000	0.000
Glyma.01G162500	2.216	1.547	1.928	8.149	7.783	8.484
Glyma.01G162600	0.000	0.057	0.123	0.000	0.084	0.000
Glyma.01G162700	12.894	12.156	12.489	10.325	9.425	11.393
Glyma.01G162800	18.129	18.442	15.877	18.157	19.151	18.587
Glyma.01G162900	2.970	2.476	3.179	2.915	3.356	3.273
Glyma.01G163000	4.081	4.269	4.094	5.262	4.969	4.889
Glyma.01G163100	5.170	6.174	5.306	1.934	1.802	1.896
Glyma.01G163200	1.894	1.956	1.532	4.358	3.819	4.272
Glyma.01G163300	3.543	3.593	3.850	4.792	4.591	4.900
Glyma.01G163400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G163500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G163600	0.161	0.036	0.077	0.019	0.026	0.038
Glyma.01G163700	3.045	3.223	3.041	4.465	3.201	3.457
Glyma.01G163800	1.104	1.276	1.015	2.801	3.992	3.547
Glyma.01G163900	35.789	34.869	33.935	40.486	40.215	41.317
Glyma.01G164000	6.870	6.474	7.109	2.002	1.774	1.534
Glyma.01G164100	6.566	5.981	5.794	6.874	6.316	7.271
Glyma.01G164200	10.628	8.900	10.831	8.852	9.171	8.134
Glyma.01G164300	23.753	25.167	25.610	21.190	24.004	21.292
Glyma.01G164400	0.359	0.282	0.226	0.621	0.600	0.873
Glyma.01G164500	0.021	0.000	0.064	0.000	0.000	0.000
Glyma.01G164600	0.193	0.470	0.221	0.000	0.000	0.000
Glyma.01G164700	1.420	1.641	1.285	0.049	0.000	0.000
Glyma.01G164800	0.092	0.083	0.043	0.211	0.094	0.274
Glyma.01G164900	4.096	4.496	3.762	5.954	5.460	6.079
Glyma.01G165000	0.000	0.000	0.000	0.020	0.007	0.031
Glyma.01G165100	5.574	5.929	6.844	6.815	6.956	6.059
Glyma.01G165200	0.068	0.041	0.050	0.000	0.031	0.030
Glyma.01G165300	2.000	2.161	2.079	1.144	0.971	1.209
Glyma.01G165400	27.866	28.771	30.469	17.170	20.174	17.067
Glyma.01G165500	0.162	0.074	0.393	1.163	0.949	0.610
Glyma.01G165600	0.093	0.065	0.082	0.085	0.108	0.017
Glyma.01G165750	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G165800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G165900	0.558	0.615	0.550	0.990	1.015	1.347
Glyma.01G166000	5.621	4.698	5.320	19.996	21.092	21.589
Glyma.01G166100	1.129	1.110	0.889	6.471	6.445	5.928
Glyma.01G166200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.01G166300	0.264	0.248	0.161	0.000	0.018	0.000
Glyma.01G166400	3.396	3.178	2.205	4.384	3.940	4.568
Glyma.01G166500	0.229	0.168	0.262	0.000	0.000	0.000
Glyma.01G166600	2.187	1.789	1.928	3.960	2.851	4.119
Glyma.01G166700	3.986	4.189	4.052	8.541	6.263	8.680
Glyma.01G166800	0.000	0.000	0.017	0.000	0.000	0.000
Glyma.01G166900	0.046	0.056	0.020	0.000	0.000	0.000
Glyma.01G167000	0.059	0.000	0.000	0.000	0.000	0.000
Glyma.01G167100	0.000	0.000	0.079	0.000	0.081	0.059
Glyma.01G167200	0.211	0.115	0.192	0.658	0.465	0.714
Glyma.01G167300	12.034	12.312	12.019	6.861	10.644	6.541
Glyma.01G167400	0.048	0.029	0.000	0.031	0.011	0.000
Glyma.01G167500	79.347	76.391	79.908	5.277	6.365	5.334
Glyma.01G167600	2.478	3.292	3.062	3.368	2.527	3.294
Glyma.01G167800	6.389	7.654	7.906	34.313	40.086	30.904
Glyma.01G167900	0.301	0.431	0.430	0.053	0.047	0.027
Glyma.01G168000	19.950	20.345	20.325	9.011	9.864	9.884
Glyma.01G168100	0.095	0.189	0.121	0.046	0.075	0.031
Glyma.01G168200	8.844	8.627	8.383	1.444	1.267	1.596
Glyma.01G168250	0.962	0.814	0.881	0.000	0.000	0.000
Glyma.01G168300	3.598	3.480	3.568	0.574	0.946	0.393
Glyma.01G168400	29.518	28.116	28.271	5.719	4.067	4.983
Glyma.01G168500	22.314	21.188	20.629	2.676	2.562	2.401
Glyma.01G168600	3.345	4.336	4.306	3.068	2.922	3.056
Glyma.01G168700	0.307	0.000	0.000	0.196	0.346	0.804
Glyma.01G168900	5.373	5.175	4.528	5.424	5.099	5.301
Glyma.01G169000	7.011	6.979	6.346	9.521	8.336	8.873
Glyma.01G169100	1.762	1.559	1.830	3.475	3.752	3.623
Glyma.01G169200	0.297	0.381	0.200	0.235	0.243	0.056
Glyma.01G169400	2.183	2.122	2.382	2.273	1.526	2.101
Glyma.01G169500	0.798	0.574	0.842	1.058	0.931	1.046
Glyma.01G169600	0.023	0.055	0.020	0.000	0.000	0.000
Glyma.01G169700	10.128	10.389	10.912	20.493	15.686	18.652
Glyma.01G169800	3.809	3.177	3.321	4.489	4.456	4.571
Glyma.01G169900	4.984	5.150	4.745	6.007	6.179	6.130
Glyma.01G170000	0.159	0.406	0.152	0.017	0.000	0.000
Glyma.01G170100	0.925	1.097	0.815	1.743	1.148	1.528
Glyma.01G170200	24.625	24.540	22.910	3.783	4.210	4.329
Glyma.01G170300	32.507	32.662	37.600	73.233	70.874	67.547
Glyma.01G170400	6.328	6.367	6.561	9.136	8.718	8.071
Glyma.01G170502	0.094	0.033	0.071	1.445	1.094	1.255
Glyma.01G170600	6.814	6.572	6.595	9.613	10.876	10.313
Glyma.01G170700	0.158	0.185	0.152	0.110	0.266	0.104
Glyma.01G170800	0.009	0.011	0.008	0.102	0.072	0.046
Glyma.01G170900	4.852	4.946	4.690	8.749	10.466	9.909
Glyma.01G171000	1.418	1.464	1.146	1.258	1.120	1.493
