ID	CK-1	CK-2	CK-3	Cd-1	Cd-2	Cd-3	Na2-1	Na2-2	Na2-3	Se2-1	Se2-2	Se2-3
Cd	10.9551	13.3114	11.5062	514.188	522.6504	513.8139	384.0105	371.4051	330.1798	410.4626	343.8551	351.4179
H2O2	1.208	1.372	1.088	2.533	2.133	2.263	1.369	1.258	1.242	1.503	1.374	1.331
O2-	6.236	6.781	6.508	8.598	9.506	8.78	5.146	4.237	4.419	3.42	3.51	3.601
SOD	11.134	11.124	10.969	12.246	13.874	12.584	15.209	15.236	15.591	12.67	12.648	11.567
CAT	15.318	15.38	15.874	6.797	7.287	6.429	12.925	11.193	11.659	10.593	12.308	11.328
GSH-Px	75.837	61.435	64.876	85.115	70.954	83.739	71.966	85.149	85.851	81.777	83.217	83.393
APX	1.714	1.714	1.5	2.036	2.036	2.25	3.429	3.536	3.107	3.536	3.107	3.214
MDA	0.323	0.364	0.401	1.342	1.408	1.363	0.234	0.409	0.409	0.412	0.371	0.33
