Geneid	log2(fc)	pvalue	FDR
Glyma.01G000100	-0.346270513150835	0.811048393193027	0.929535528654758
Glyma.01G000137	-0.447729171268007	0.675062214892279	0.846925377473295
Glyma.01G000174	0.0516984390446883	0.675163131936266	0.846925377473295
Glyma.01G000211	0.36528829976658	0.328491355797705	0.566675715047278
Glyma.01G000248	0.328695294331472	0.352906782483058	0.592632558840497
Glyma.01G000285	0.307964509529165	0.433563739362256	0.673004292620969
Glyma.01G000322	0.187443913078074	0.531085077792328	0.741876064449839
Glyma.01G000359	-0.219541766078113	0.970283792289877	1
Glyma.01G000400	-0.0477929852212301	0.779151084867691	0.911892774903667
Glyma.01G000600	0.165079190765812	0.49891590935595	0.728565505762079
Glyma.01G000900	-0.00809507634843806	0.724713633672113	0.878662945530856
Glyma.01G001000	-0.716625776155231	0.343670487638742	0.583983171088117
Glyma.01G001100	0.315663341520714	0.340272815540604	0.580022738426486
Glyma.01G001150	-2.41591692328711	0.262672811059908	0.493910626643206
Glyma.01G001200	-0.196707103265631	1	1
Glyma.01G001300	-0.200206921297402	0.997856249931889	1
Glyma.01G001500	-0.931900019995907	0.248011487314909	0.47574825106054
Glyma.01G001600	-0.841861820517039	0.233569047368764	0.457066496801258
Glyma.01G001700	-0.421616411169164	0.683711324744527	0.852988555048985
Glyma.01G001800	4.04730571477836	7.48363622124555e-10	1.60213612416617e-08
Glyma.01G001900	3.8073549220576	0.149560117302053	0.333540550963832
Glyma.01G002000	-0.611936889762962	0.433919807095551	0.673401239306285
Glyma.01G002100	2.36927986715871	5.34476665227832e-06	5.46719483120122e-05
Glyma.01G002200	0.633682681947009	0.123759474208957	0.293203956784745
Glyma.01G002250	1.29184268913671	0.00832541724552427	0.0347191413650696
Glyma.01G002400	3.20141368922062	1.19436714930298e-08	2.0645555274939e-07
Glyma.01G002501	3.53793568330597	1.05264491234356e-09	2.19265052314396e-08
Glyma.01G002600	0.0363989751887629	0.666524159073161	0.840862936661568
Glyma.01G002700	0.58843627433927	0.145301110037559	0.330927035195849
Glyma.01G002902	0.595779106622813	0.139172808881466	0.320662013803948
Glyma.01G003000	4.61974707077328	4.50445715399708e-14	2.07109408318585e-12
Glyma.01G003100	-0.671900107558367	0.392030357460884	0.634473171935517
Glyma.01G003200	-0.643608495544416	0.531693923749124	0.742309624453194
Glyma.01G003300	3.45545176772475	0.00590929478639213	0.0259965934697879
Glyma.01G003400	0.844226763839677	0.0548068170516308	0.159398725556324
Glyma.01G003450	-5.27301849440642	0.0835777126099707	0.218288479776705
Glyma.01G003500	2.52724700286487	0.262672811059908	0.493910626643206
Glyma.01G003600	-1.352895907578	0.0382533897910708	0.120763730208537
Glyma.01G003700	-1.64130998078377	0.00960100135321887	0.0391511003001493
Glyma.01G003800	-0.692991803159211	0.3557038360056	0.595272253876169
Glyma.01G004000	-1.13710723339148	0.262822200956896	0.493983736491369
Glyma.01G004100	-0.603386752803061	0.45535136594527	0.69330947427109
Glyma.01G004200	-3.86527318801555	9.89616436793529e-10	2.07295428027683e-08
Glyma.01G004300	-1.34909820492044	0.0335378084108914	0.108305994112756
Glyma.01G004500	-0.742752932775029	0.309768916681242	0.545156706479063
Glyma.01G004600	3.23290894815612	9.96099812320576e-07	1.18264695114322e-05
Glyma.01G004700	-2.05594209799446	0.0079286423761943	0.0332943393948578
Glyma.01G004800	-2.12055892412133	0.00618244459594853	0.026880795242048
Glyma.01G004900	-1.397923478415	0.139575269749554	0.32122504932682
Glyma.01G005000	-0.458914972056238	0.616725495064582	0.806789458311757
Glyma.01G005100	2.22239242133645	0.167155425219941	0.359112167178849
Glyma.01G005200	-1.63583026253547	0.00809470237772365	0.0338993152507612
Glyma.01G005300	-0.134884636907711	0.914711256774649	0.985740305908476
Glyma.01G005400	0.782474501615613	0.0684217597507658	0.189934861989628
Glyma.01G005500	2.35816206666434	1.42378336555401e-05	0.000131987847830008
Glyma.01G005600	1.90190718809426	0.000844092823710469	0.00490852000945514
Glyma.01G005800	0.582045017338862	0.324897665469376	0.56243709023881
Glyma.01G006000	-0.725351176305641	0.329329099466841	0.567558796949159
Glyma.01G006100	0.210888869908294	0.44313567034301	0.681879779690289
Glyma.01G006200	0.689920138257746	0.102110936988663	0.254400902593369
Glyma.01G006300	1.78071116550704	0.0102675637813033	0.0411116417581547
Glyma.01G006400	-0.279832475724238	0.877351757296322	0.965283440471163
Glyma.01G006500	-0.133983165745441	0.910170797503341	0.983497768651217
Glyma.01G006600	-0.148543067330718	0.925692827662638	0.991408191320801
Glyma.01G006700	-0.591014738442505	0.458310422559463	0.696597558613756
