	GSM1172844	GSM1172845	GSM1172846	GSM1172847	GSM1172848	GSM1172849	GSM1172850	GSM1172851	GSM1172853	GSM1172854	GSM1172855	GSM1172856	GSM1172858	GSM1172859	GSM1172860	GSM1172861	GSM1172863	GSM1172864	GSM1172865	GSM1172867	GSM1172868	GSM1172869	GSM1172870	GSM1172871	GSM1172872	GSM1172873	GSM1172874	GSM1172875	GSM1172876	GSM1172877	GSM1172878	GSM1172879	GSM1172881	GSM1172882	GSM1172883	GSM1172884	GSM1172885	GSM1172886	GSM1172888	GSM1172889	GSM1172890	GSM1172893	GSM1172895	GSM1172896	GSM1172897	GSM1172901	GSM1172902	GSM1172903	GSM1172904	GSM1172905	GSM1172906	GSM1172907	GSM1172908	GSM1172909	GSM1172910	GSM1384316
ENSG00000000003	95.21254794	95.6986763	19.99467363	65.68637629	44.05774559	34.31756526	178.1588316	13.46014377	37.87966641	69.09258138	129.384759	21.15988965	19.09833053	16.24804631	1.139479959	216.930143	96.78540138	6.847876379	43.96578165	81.01664571	127.9318903	60.7519607	116.1160276	205.8283737	56.52847743	11.5453787	168.3986481	177.0638508	328.4809124	49.13244679	15.33691275	22.26781701	296.2886468	80.84242541	91.57406098	13.04087011	72.33741799	27.80522552	44.57677367	114.5923955	3.881541105	112.2798462	47.32095875	9.46414755	34.32291852	30.79792689	39.42509726	129.4180906	82.74869399	73.38731008	26.57928036	50.67657891	31.81299876	121.4599177	2.293898185	2.025956027
ENSG00000000005	0	0	0	0.149202057	0	0	0	0	0	0	0	0	0	1.115111454	0	0	0	0	0	0	0	0	0	0	0	0	0.293644581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328562489	0	0.090824427	0	0	0	0	0
ENSG00000000419	453.2083073	243.6480387	142.0581753	200.4131493	193.1543893	151.5729125	220.75349	147.468928	684.5909386	314.0312203	645.9396485	251.0296821	567.8720766	513.3112324	418.3522185	232.6223006	480.183991	1105.87985	163.8230051	465.8800715	153.4375859	305.9390416	301.3412873	426.2279181	230.7881188	232.2100694	614.6187674	361.3279116	283.9432212	171.8439418	352.980221	170.3990308	385.4303095	281.0688823	167.9536442	180.6757445	459.7280921	180.7132592	191.1735112	243.1433784	140.6606818	401.235202	544.7672158	132.9855899	117.1978883	296.79585	487.2622739	163.8136625	417.3387457	560.4114903	786.3544323	129.559385	404.4189772	254.2416315	217.6264048	119.6741919
ENSG00000000457	18.10439007	26.5666075	16.12776381	12.08731351	18.4480093	15.78352593	89.67267592	34.4605135	140.427398	70.60372935	19.10842066	57.88647591	18.87490985	18.57821362	26.16686566	32.99866306	38.59160829	57.1251337	45.07498494	42.88532462	25.54543887	15.04774046	30.16490354	50.24322068	69.95404322	23.42010522	34.25612664	25.35553956	86.78167505	14.99468887	17.0921933	13.2359212	21.72708096	37.7265315	27.37310823	10.25524905	46.59622381	46.89199437	20.91045556	40.21421912	30.69542446	41.65384923	72.60173004	4.67133178	10.14218726	21.69389708	8.380951081	45.98844459	52.62700713	31.05927107	14.00736756	35.63117326	42.51073969	125.9721119	37.43342206	63.99562792
ENSG00000000460	48.16622374	24.58428902	24.28459224	36.51691685	32.58676318	28.52255182	140.5434281	16.77140331	92.55390773	46.69151727	65.49559451	78.92829135	17.32355511	14.94476322	6.255160112	75.93175474	72.2293205	60.44640235	31.79760935	55.94912816	27.98706834	44.96773975	86.29448937	109.002576	76.18851613	6.491054409	64.09858392	75.71389905	100.4684204	47.5689725	9.417620721	9.584962512	86.29694659	73.11010215	22.54190371	23.49934555	42.70136918	70.40138017	27.14518183	84.08087879	9.745461749	64.66055191	70.61776727	1.679667321	9.887639218	6.358033582	23.94303787	74.63438058	59.39408016	65.22284103	10.5265931	26.91446357	39.85142147	41.73541938	47.31214346	31.66739585
ENSG00000000938	3.060651451	0.315894619	0.314579493	0	0.13286975	0	0	0.232811996	0	0.594198053	0	0	0.141201147	0.221508267	0.147779552	0.220480338	0.450177213	0	0	0.594624106	0.485339768	0	0.103441463	0.553505297	0	0.066110604	0	0	1.353972499	0	0	0	11.61544625	2.598639645	0	1.28124399	0	0	0	0	0.184391548	5.640161385	0.521890028	0.484170361	0.269738202	0	0.418478969	2.539778939	0	0	0.530763486	0.274909112	0	0.61501471	0	0.361252086
ENSG00000000971	20.44634369	2.104032047	2.340721811	3.579494048	27.23789232	22.49986434	1.395051247	0.159558015	0	0.090468199	113.241045	0	0	0.050439897	0	0.151614945	55.53876152	0	0.818781594	0.081241515	2.275009664	33.35781293	0.420266724	63.02039669	0	0	1.668694076	24.2897333	121.5118291	77.93645149	0.031564559	0	51.18445879	20.39397062	11.57465171	0.281349899	0	0.18707873	0.14273321	51.47938146	0	0.128799943	0	0	22.85882733	2.60774331	1.857259806	0	0	0	0	0	0.129727611	0	0	0
ENSG00000001036	155.811012	285.9372396	244.6551142	363.5973045	353.4835267	347.319825	364.219675	119.9386655	131.4314741	207.1911728	891.0684836	201.922304	154.6337798	157.6991481	93.48063945	185.0139365	407.6601945	284.364111	125.9349952	499.9161156	158.5722942	411.6200124	272.552815	462.6323195	191.9184856	65.91322712	251.743252	820.0197053	399.848306	453.4354095	120.3630369	206.8357261	352.453286	280.7168031	590.9672697	179.7900845	512.4805101	348.3989529	92.22888618	758.54857	203.9832951	89.02043523	376.0738991	65.9007094	335.5642367	136.5562787	165.0228854	534.3797643	243.4542025	233.8092223	180.1122061	525.2486087	123.1359722	206.0439562	340.9918237	189.3931169
ENSG00000001084	98.13004371	261.2476472	101.7420577	210.3849544	181.1553331	157.7041305	219.67928	43.49539037	136.4297669	160.7570816	52.24426478	271.6532227	55.8133089	45.39690477	20.93167181	110.2836549	220.3002182	78.93770789	126.220273	201.8278539	101.7372683	250.931421	93.85850639	431.6397698	120.7458309	24.89292924	160.8912041	107.0509987	255.5305867	56.10951265	21.34438048	46.28624976	87.47978284	458.9821429	240.8709935	72.1721429	129.3711487	151.9750916	37.60185854	85.17879088	58.6482948	34.84706101	134.8107423	38.24691067	128.6302894	360.4830403	62.49532136	356.1276053	90.45225347	77.54072104	24.85323013	79.7553124	33.4865278	245.0267549	60.89554334	38.4201719
ENSG00000001167	89.51261858	94.15437482	245.4335414	216.4870719	286.0924191	289.2982954	125.1932545	68.90765541	167.8156722	152.7524214	291.4592181	381.1349475	103.5353258	112.9715772	80.85507442	285.9004187	347.9923984	98.75689508	162.7574422	171.1746438	178.1828678	163.4151301	97.91480669	121.7131891	159.090977	74.81271377	182.5243765	89.27271563	87.33060225	165.2792808	209.4937441	120.2954148	140.8339253	138.227134	164.2214078	170.101403	147.7677786	88.06165902	122.2383748	156.9264199	102.6230766	178.0970322	76.17181541	254.2066798	77.3913141	101.4024007	111.1083687	102.4571865	61.65043714	106.1144157	138.140311	106.3420316	68.45802239	73.9109636	61.62551911	136.1613915
