	GSM1172844	GSM1172845	GSM1172846	GSM1172847	GSM1172848	GSM1172849	GSM1172850	GSM1172851	GSM1172853	GSM1172854	GSM1172855	GSM1172856	GSM1172858	GSM1172859	GSM1172860	GSM1172861	GSM1172863	GSM1172864	GSM1172865	GSM1172867	GSM1172868	GSM1172869	GSM1172870	GSM1172871	GSM1172872	GSM1172873	GSM1172874	GSM1172875	GSM1172876	GSM1172877	GSM1172878	GSM1172879	GSM1172881	GSM1172882	GSM1172883	GSM1172884	GSM1172885	GSM1172886	GSM1172888	GSM1172889	GSM1172890	GSM1172893	GSM1172895	GSM1172896	GSM1172897	GSM1172901	GSM1172902	GSM1172903	GSM1172904	GSM1172905	GSM1172906	GSM1172907	GSM1172908	GSM1172909	GSM1172910	GSM1384316
ENSG00000006756	53.68966016	0.328604553	20.05225928	28.09180786	27.01388048	24.12751398	104.2259469	8.86440372	287.801311	137.1052955	0	67.42390919	171.0929866	65.17405434	361.3060899	0.050998191	0.617930775	97.70881842	187.6070998	76.5053227	0.223045843	4.54112695	22.46055769	90.01725574	3.180948151	0.240720598	62.12079354	29.59255174	58.5565352	4.420066296	35.18396882	85.72863962	22.25034516	15.4831891	29.51107796	11.5964933	145.4468114	124.6948583	62.17761066	7.189800132	64.21387436	8.116977149	11.32680147	27.5524764	24.75663828	118.4759935	17.31882013	18.37576976	108.1872596	78.6467274	204.0037556	13.74449401	127.1082934	4.852762961	78.29135655	0.110679544
ENSG00000006757	176.5272261	101.5783159	52.86687559	48.09048881	120.874307	107.2806116	33.94842774	53.60217079	76.9429136	73.03412771	30.99952645	49.04145062	116.341843	139.9057069	135.280451	12.43148404	46.1705363	50.48415188	60.98961495	0	0.607213038	18.76268712	95.32321615	43.98162669	55.36577225	62.55235578	44.51639774	21.29126341	6.715970022	13.30799158	42.95110131	15.05399976	75.21368756	90.56243834	85.72149733	98.25776343	14.67262071	85.54077354	50.33256863	39.49169063	92.52728436	1.548353641	14.84823722	0	48.84489565	77.67871874	30.90842941	23.18201112	71.31548652	48.95397121	159.7549949	13.67343358	259.648642	44.45492998	149.4068896	28.14829515
ENSG00000006788	0	0	0.472792801	0.033143053	0.032677316	0	0	0	0	0	0.127088473	0	0.034726298	0	0	0	0.145023586	0	0	0.434098497	0	5.830597757	0.050879744	0	0	0	0	0	0	5.385007296	0.340906864	0	0	0	0	0.025403628	0	0	0.05206153	0.703039378	0	0.091518333	0	0	0	0	0	0	0	0.228139066	0	0	0	0	0	0
ENSG00000006831	375.2736692	216.3892266	213.4440499	276.987876	261.2879034	248.3703709	330.2247934	283.2301403	413.2110146	414.5263987	183.8743271	247.1815628	113.3987475	71.69386237	134.8733318	204.0969579	278.5014618	316.1724109	588.0949379	260.5154095	160.321075	231.4698133	331.838939	284.9477377	128.3950704	124.483142	892.3424203	304.5618301	250.6981369	138.2813777	363.9227112	277.934345	145.2771063	261.9554629	227.7280777	179.9726357	671.4793409	223.5480701	104.5610949	314.0016954	208.9168723	68.2802266	272.2614546	57.0747741	179.1840262	167.6102956	198.918707	296.5955603	341.3863497	251.7076213	119.6366154	321.219806	306.7268693	235.8510778	293.2757971	124.5101102
ENSG00000006837	2.437647352	2.425193883	0.215948729	0.377315113	0.541387701	0.757375592	3.357339002	0.160842267	0.978865091	3.605648415	2.458890588	6.629089239	2.009967233	0.193680676	1.603549904	0.454097087	3.164724501	2.888234038	0.863767926	6.624172217	1.332830317	0.871981189	1.126913818	0.502590425	1.968790501	0.263592057	0.835418144	4.456308255	3.308578644	2.038575324	0.126050673	1.317689951	2.451360557	1.220231012	1.92370746	0.487714404	5.034834467	4.84253432	0.289684575	1.274065464	0.600621844	1.79685091	0	1.164537741	1.287749688	2.201522652	1.273065349	3.158981861	0.830897342	1.002266562	3.297061709	0.983926367	2.712984663	3.554256229	0.526158617	0.324181126
ENSG00000007001	0	0	0	0	0	0	0.191566773	0	0	0.160844966	0	0	0	0	0	0	0.090126065	0.515028826	0.223957826	0	0	0	0	0	0	0	0	0.156333725	0	0.09142126	0	0	0	0	0	0	0	0	0	0.453384874	0.038732552	0.228995633	0	0	0	1.284039863	0	0.088300268	0	0	0	0	0	0	0	0.146253459
ENSG00000007038	80.01853135	0	56.73068806	80.107174	12.7004355	42.32680773	0	0	0	0	0	0	0	0	0.18418533	0	0.37487492	0	3.867647193	446.8411168	0	4.493369281	0.773546804	0.307504646	1.962491601	0.329588315	0	0	0	468.3303475	0	0.32552306	0	87.82504943	303.4407981	0	0	0	0.796653705	0	0.077454873	0	0	0.30574631	0	0	421.5228807	0	0	0.231233141	0	0	0	0	0	0
ENSG00000007047	69.35991336	66.77074009	84.28589043	67.3384699	60.4296219	58.25578332	42.58826517	60.86833951	28.59237125	95.53295706	67.43919696	82.87410628	85.74291919	53.99174536	70.77824714	55.55510985	35.41287102	73.27022773	91.61242479	75.57025376	70.55254294	39.46052482	80.84943288	43.56790815	95.21719635	124.0019919	36.63532747	78.56769381	91.79055799	58.90240834	66.48274443	109.4188429	81.46319607	46.69201678	72.1570926	52.82655577	57.37529162	108.4838377	86.77852383	37.68039287	94.99309665	85.19020344	62.38098149	110.4366955	45.78364257	106.8302735	77.40841955	83.34285661	23.74606	28.00932027	146.1505404	95.73020049	137.7714788	48.83552674	203.8609309	95.15797096
ENSG00000007062	0	1.14696696	0.241948907	1.461529461	8.116263772	7.524379495	83.40730075	14.97849334	0.735530745	1.199503359	0	0.410733398	3.623234656	3.722350366	0.297583536	19.97849425	0.151905837	2.214109956	0	2.85611592	653.564583	1.400717919	0.625534435	4.541569187	37.86089393	0.330462808	89.27304882	2.010960049	539.4283927	0	0	0.131907605	3.38069879	0	0.158514768	0	0	0.207462178	128.5169445	0.377058516	0.317577388	563.6662426	21.75667569	0	0.27245904	0.111891267	0.211350074	0.587480877	0.679053705	0.46726556	0	0.992060864	11.78408746	528.6823478	2.810732711	0.243264013
ENSG00000007080	689.1032447	483.3608218	1206.790054	1403.482562	1173.86121	1036.621187	246.4195868	1020.674778	148.058854	562.1479876	663.5089998	621.2740533	1111.42969	1360.646226	1378.881605	1067.141306	475.5694803	403.507341	1030.247542	534.2035001	1267.612019	698.6618598	986.404758	302.0901934	487.2595556	968.4390018	1077.755504	208.4746268	695.9148642	1441.480679	812.9544214	1609.253258	1011.438823	657.9913036	746.900647	1369.688863	598.4548182	766.4538343	1838.698685	642.0364314	935.1509991	1143.194054	526.4761772	2170.440782	1715.853896	646.6569407	1187.98286	580.081351	542.5460598	1097.627275	1013.769669	1150.985445	576.8649702	152.7533442	814.1625196	801.1078404
ENSG00000007129	0	0	0	0	0	0	0.741959214	0.184899129	4.332598146	0	0	0.531343826	0	0	0	0	0.587985954	0	0.144568888	0	0	0	0	0.28760834	0	0	0	0	0.185891418	0.118028203	0	0.504049663	0.673062338	0	0	0	0	0	0	0	0	0	1.636683198	0.182207006	0	0	0	0	1.431188529	0.145457133	3.834797793	0.280009325	0	0.12054554	0.461599966	0
ENSG00000007168	201.9157751	220.8133863	196.1310904	154.2366984	199.1577003	197.1991597	422.6663443	77.872804	342.5923624	245.5725515	507.2925511	194.2045483	69.5514316	43.64093895	88.24869262	275.2062499	480.584958	414.3332147	174.6440109	327.8598923	144.8445834	371.3087962	227.4299297	353.3698765	155.6909185	24.53748163	249.9348081	243.4921565	180.8719555	265.2626213	102.1656797	80.12378508	197.2462406	254.6591354	271.9045966	139.3263731	234.2926657	243.9489122	90.43035125	406.7207732	90.17255558	162.8657228	251.2455521	60.34910151	126.8511598	66.54812468	78.2985849	281.5288013	198.7487672	143.2840757	92.0065587	289.4806045	156.6459078	156.8110793	202.4830942	80.10057335
ENSG00000007171	0	0	0.11080792	0.047781577	0.13711806	0	0.252848974	0.079384451	0.196876538	0	0	0	0.146341232	1.834611745	0.102106072	0	3.267662772	0	0.190269291	2.657529016	5.616915767	0.14561404	0.212533172	0.255705148	0.08588988	0.273483182	0	11.33395056	0	0.050639046	0.063440784	0.179302106	15.30569397	0	0.052074782	0.5348138	0	0.094607623	0.035615941	0	0.066102449	0.32567723	0	1.101719692	0	0.754297857	0	0.148052803	0	0.307819328	0	0	0	0.318701413	0.066630484	0
ENSG00000007174	0.044208855	0.434725939	0.016530336	0	0	0	0.054048744	0	0	0.31287661	0	0	0.043662398	0.060884504	0	0.022876238	0.215384342	0.04380423	0.019006288	0	0.040446386	0	0	0.012715373	0	0	0	0	0	0.046551054	0	0	0	0.141112035	0	0.626666187	0	1.011534721	0	0	0.025959318	0.019433824	0	0	0	0	0	0	0	0	0	0	0.312150505	0	0.059378074	0
ENSG00000007202	307.2647404	254.4691484	813.2588343	906.7843135	707.6032777	813.5653997	772.2704689	1934.546611	799.5173304	913.1163783	288.9676215	864.8301813	508.3014764	600.1381078	823.7246836	437.2397372	261.1771503	2177.734969	515.7059983	320.5995444	582.5236446	493.0206054	465.0154368	528.3629349	842.5913011	1411.912728	439.0426385	577.2030916	237.2108727	304.363635	1092.927549	685.916617	618.4337384	416.8332132	351.7686805	806.9753512	728.9530558	443.914489	673.5288905	791.2298489	1340.470944	202.7313985	928.1377284	464.784305	341.1126634	992.0675152	584.8495867	386.9353575	886.3753309	641.8688882	3192.085809	285.5129795	510.9715729	5326.63339	659.3385875	782.1253268
ENSG00000007216	0	7.848289089	0	0	0	0	0.697860751	0	0.213324304	1.769533345	0	0	3.892793612	0.220369992	0.110265113	0	0	0.422795605	0.410946469	0.527741357	3.205273779	0	0.152333739	0.542586766	0	1.731544853	0	0	0	0	0.344760899	0.194878913	0	0	0	0	0	0.404637001	19.33762882	0	0	0	2.596040838	0	0	2.468729303	0	0	0	0	5.447599977	0.866072008	0.425081249	119.9259597	2.563861694	0
ENSG00000007237	0.024350739	0	16.65217093	1.737501767	0.542266835	0.629132834	0.176031799	0.739505311	12.46571991	0.517898324	0.042700487	0.201092849	8.718032112	3.716032948	12.5321754	0.37353825	0.860786068	2.042296909	0.495481025	174.9655889	4.502127605	0.754281067	12.81508011	10.3660426	0.132917738	4.126692795	6.095530328	0.344139655	0.020191842	0.38056417	12.35727877	0.065586814	0	0.163471579	0.053106362	0.700349303	0.089600918	0.786495338	62.7598358	0.042386832	0.137044557	88.93515084	0.444448282	0.083564681	0.269609973	42.38438671	0.355444242	10.7104297	6.092730136	3.023582997	30.28966633	0.045622634	0.097033209	0.361114919	0.130968546	0.041019592
ENSG00000007255	102.2572947	183.5426337	118.8152465	209.0688744	111.4036516	102.8994887	278.4873586	195.8656788	232.7973617	305.0085667	49.96962705	295.6190514	651.8581459	678.6435317	653.6679588	257.6447748	88.87437994	150.4328433	627.9530402	292.0408279	502.4420312	86.72536352	144.1188345	91.22596634	303.3804179	414.2970546	206.271912	75.94315334	582.4205222	50.49944549	128.7796454	448.1685328	150.3564157	30.58610653	56.43381475	109.8160871	341.6908833	209.8355378	337.930928	17.92247448	412.9387383	218.398058	277.8358328	245.1345513	313.2162597	1290.982294	187.1409043	563.0258317	296.5242325	291.4843112	1039.527991	241.0270564	638.793359	254.6342822	443.0116462	269.7677131
ENSG00000007264	0	0	10.83883461	21.67183811	6.566691566	19.09433605	0.41911805	0.334857993	4.21629998	0	0.732219092	0	72.62119389	258.339989	285.5337574	75.48775408	3.826451604	2.337097606	0	23.67161377	38.20798747	49.98369107	0	9.286033387	0.290998282	74.61361217	37.12310707	3.28082293	0	0	3.780542976	176.0894409	1.755921703	0	0	3.862307768	45.00860009	0	21.96761423	0	17.52084789	56.94381768	0	14.50692881	300.6666516	6.876939431	21.48344056	0	0	1.26353162	6.875005768	0.052178828	0.635985595	0	110.7981144	0
ENSG00000007306	0	0	0	0	0.079554492	0	4.823447176	0.14303809	96.10187457	3.44960577	0	0.328838351	1.11113443	0.089565582	0.355075489	0	0.541278927	35.05946992	0.447354355	0	0.237998427	0	0	0.374104963	5.229537549	2.77595711	0	0	0.646179673	0	0	0.552405305	0	0	0	0.244172596	4.230286958	1.327681995	0.759515749	0	1.137706787	0	0	0	0	0.731975663	0	0.352758463	0	0	0.322951803	0.111157903	20.36225096	22.22147282	116.7420462	0
ENSG00000007312	0	0	9.862216451	7.881957786	1.361159625	5.202427074	0	0.805899746	0	0	0	0	0	3.034245318	7.402972699	0.253347143	0.343340631	0	0	0	12.29452723	0	0	0	0	0.905590536	0	0.293863157	2.706532281	0	1.369993691	0	0	0	0.35827827	0.93724269	0.604486182	0	0	0	0	28.08949734	0	0	0	0	0	0	0	0.847127703	0	0	0	0	0	0
ENSG00000007314	0	0	0.536266539	0.411686804	0.197746958	0.183048988	0.03912331	1.333643927	0	0.049273583	0	0	1.283778869	8.526223197	7.459878006	0	0.194738351	0.052707255	0.204920392	0.087332095	0.073000414	0	0.07494911	0	0	0	0.431106759	0.045686065	0	0.168037078	0.294903169	0.509869295	0	0	0	0.076865095	0	0.050946296	0.039892775	0.115742391	0	0.280142482	0	0.13630962	0	0.908730636	0.077851565	3.101862113	0.056661769	0.483204681	0	0.051142605	0.070656255	0.057207006	0	0.08960718
ENSG00000007341	14.28581816	17.43794549	3.202437099	4.945210004	6.53617854	4.968000056	12.98483653	4.120529916	21.97364798	8.913741968	14.76705916	31.61378089	6.05145662	6.488541302	5.370412993	12.72151755	16.70934587	10.40233485	16.57995665	12.01889242	15.12577146	9.412394723	30.58023609	11.05686305	10.76631732	6.337314947	28.77564299	53.7537895	21.82486665	11.69750588	0.806135533	4.373418659	9.029891912	12.07797846	16.46313113	4.873859434	15.00618164	23.36372418	8.577983362	31.08448184	5.175666088	10.03004211	20.49336759	13.38439229	18.20173686	11.0270333	7.649393568	17.93668797	10.72304714	8.344357355	3.477435501	2.015186337	9.186265024	10.70404933	11.4341085	6.245841805
ENSG00000007350	0	0	0	0	0.13716806	0	0	1.822864368	0.150546534	0	0	0	0.218653465	0.152449344	0	0	0.231859475	0	0.092675347	0.24392861	0	0	0	0	0	0	0	0.066440444	0	0.233119337	0	0.067407459	0.174917879	0	0	0	0	0	0	0.06084775	0	0.194642218	2.679687103	0.124958294	0	1.627085239	0	0	0	0	0	0	0	0	0	0.24862568
ENSG00000007372	0	0.121317465	0.35981897	0.465473531	0.197466047	0.092279889	0.157279133	0.352751159	0.43266008	0.939596373	35.28861051	0.050684974	0.105600858	30.31800883	0	3.470372019	22.19030734	0.052971945	0.206856746	4.881804506	15.65806545	31.59848808	28.85271893	14.75663433	0	0	72.7668821	54.58434147	7.95383059	0.225174588	42.42413343	0	35.43189833	0	0.352096286	0	0.046899154	0.357741287	6.518214754	0.093058909	0.140348048	105.4701405	0	41.1006596	4.126186122	141.5317113	13.59772753	1.676227272	18.73608812	1.378389539	6.90165129	10.96082018	0.143890879	0.057494293	0.144243072	0
ENSG00000007376	492.2885143	294.5024865	875.6696037	612.2087097	406.7034041	752.9875056	81.05627701	392.4401909	66.28582365	307.3501144	289.608247	238.7274351	472.7848126	1007.011436	555.1004756	178.7829617	60.80034207	134.8138768	286.8193123	391.229725	414.1177857	503.7884739	429.1789412	172.6927116	134.1350251	396.6182839	147.2196227	101.8857554	224.0190533	219.4107941	473.9352269	1130.932155	212.6395294	330.8173302	333.3763975	311.0762007	248.8932378	154.706806	397.1135211	264.2536957	531.701389	405.6941062	497.4393105	151.0630997	808.0606788	221.8942846	415.0728006	302.6390648	238.660537	358.1909144	287.2552198	338.077254	578.2393133	49.85012465	419.8345024	305.6605205
ENSG00000007384	174.4334286	201.5541743	415.4133928	266.9268311	258.0398384	199.17128	351.992714	394.1040858	99.75717196	219.008236	89.24604856	185.4479907	517.5441211	329.822145	435.0168478	49.32853014	75.96712085	184.2002797	180.4858342	346.6648188	308.8603982	67.40904596	105.2998273	159.8746541	253.3134748	354.7679051	120.4539512	71.31514477	282.136368	174.7279519	290.9625361	621.6026703	135.9933941	81.97174213	341.3067439	72.05351049	202.5759854	83.0504695	291.66736	107.88817	513.9270802	499.2247606	228.6204419	79.40406576	365.5375387	266.9490764	91.42837611	250.6619124	550.416809	347.033447	507.0511501	150.587607	434.3569147	243.7293809	201.2614227	532.5394157
ENSG00000007392	110.1538799	64.53270841	144.7092811	190.395571	142.9455529	168.1191767	124.8363384	92.25639533	100.1811381	77.745988	130.2644825	111.2533274	105.4340369	149.9096124	190.6666335	67.32689291	62.8747269	90.65660515	141.2321712	55.8079203	57.12706906	152.5642352	56.61769115	42.84956932	74.21686565	167.8901509	46.57674452	78.47620815	51.52947321	77.35755412	116.8741262	265.1856601	81.65582437	82.04558559	99.4036754	72.08008752	87.99989607	72.69233394	128.6227914	201.2653656	189.1378856	97.31729348	83.46284844	53.19530845	77.32869061	64.56887895	97.77137502	75.34157903	148.4598415	150.358958	201.5920374	108.5804299	97.94104848	111.8642551	104.1883171	219.0119874
ENSG00000007402	1.727765021	2.135054888	0.799007239	1.78309118	1.469662079	1.559831803	136.0356423	20.54040374	17.33258952	27.36500544	2.070668626	24.08659461	4.353296533	11.73762083	17.7667853	5.078254999	1.147720374	13.70102486	16.7991829	2.782690593	10.18426642	0.169138914	4.889667071	5.520197604	2.970917284	27.63467995	2.143592798	0.509271881	1.774477673	1.029665618	1.313346794	9.282843983	1.267386044	0.141510869	0.662334809	0.431070071	10.29837946	149.6842092	18.79500932	0.164248975	34.88378677	6.684301998	5.400572944	1.746034523	0.138673829	21.4247907	0.550938575	5.706461415	3.886572758	6.065065505	122.0081828	3.555293807	27.08281991	29.99939791	18.00145376	17.45615711
